sequence,batch_code,batch_no,sheet_code,sheet_no,sheet_position,sheet_slot,character_id,filename_png,name,epithet,role,role_display,anime_type,anime_type_display,visible_genre_1,visible_genre_1_display,visible_genre_2,visible_genre_2_display,hidden_genre,hidden_genre_display,overt_hook,hidden_background_hint,coverage_edges_this_member,concept_brief
144,B02,2,S15,15,R1C4,4,g30_secondary_shonen_014,g30_secondary_shonen_014.png,Arden Bennett,The Titan Abyss Arena Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,sports,Sports,A kinetic sidekick concept that overtly sells Kaiju x Cosmic Horror.,"stadium floodlights, lane markings, scoreboards, locker-room cues",cosmic_horror+kaiju | cosmic_horror+sports | kaiju+sports,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: stadium floodlights, lane markings, scoreboards, locker-room cues. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
145,B02,2,S15,15,R1C5,5,g30_secondary_shonen_015,g30_secondary_shonen_015.png,Ari Bennett,The Beast Underworld Neon Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,cyber,Cyber,A battle-ready sidekick concept that overtly sells Monster Taming x Crime.,"neon grids, holograms, circuit traces, city rain reflections",crime+cyber | crime+monster_taming | cyber+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: neon grids, holograms, circuit traces, city rain reflections. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
146,B02,2,S15,15,R2C1,6,g30_secondary_shonen_016,g30_secondary_shonen_016.png,Asa Bennett,The Titan Abyss Neon Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,cyber,Cyber,A driven sidekick concept that overtly sells Kaiju x Cosmic Horror.,"neon grids, holograms, circuit traces, city rain reflections",cosmic_horror+cyber | cosmic_horror+kaiju | cyber+kaiju,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Kinetic non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: neon grids, holograms, circuit traces, city rain reflections. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
147,B02,2,S15,15,R2C2,7,g30_secondary_shonen_017,g30_secondary_shonen_017.png,Asha Bennett,The Beast Underworld Realm Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,fantasy,Fantasy,A fearless sidekick concept that overtly sells Monster Taming x Crime.,"runes, relics, banners, ancient stonework, enchanted forests",crime+fantasy | crime+monster_taming | fantasy+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Battle-ready demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: runes, relics, banners, ancient stonework, enchanted forests. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
148,B02,2,S15,15,R2C3,8,g30_secondary_shonen_018,g30_secondary_shonen_018.png,Cass Bennett,The Titan Abyss Realm Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,fantasy,Fantasy,A scrappy sidekick concept that overtly sells Kaiju x Cosmic Horror.,"runes, relics, banners, ancient stonework, enchanted forests",cosmic_horror+fantasy | cosmic_horror+kaiju | fantasy+kaiju,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: runes, relics, banners, ancient stonework, enchanted forests. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
149,B02,2,S15,15,R2C4,9,g30_secondary_shonen_019,g30_secondary_shonen_019.png,Cassia Bennett,The Beast Underworld Stage Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,idol,Idol,A heroic sidekick concept that overtly sells Monster Taming x Crime.,"stage lights, star confetti, speaker stacks, glowsticks",crime+idol | crime+monster_taming | idol+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Fearless human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: stage lights, star confetti, speaker stacks, glowsticks. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
150,B02,2,S15,15,R2C5,10,g30_secondary_shonen_020,g30_secondary_shonen_020.png,Dara Bennett,The Titan Abyss Stage Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,idol,Idol,A hot-blooded sidekick concept that overtly sells Kaiju x Cosmic Horror.,"stage lights, star confetti, speaker stacks, glowsticks",cosmic_horror+idol | cosmic_horror+kaiju | idol+kaiju,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Scrappy non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: stage lights, star confetti, speaker stacks, glowsticks. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
151,B02,2,S16,16,R1C1,1,g30_secondary_shonen_021,g30_secondary_shonen_021.png,Eira Bennett,The Beast Underworld Cipher Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,mystery,Mystery,A resolute sidekick concept that overtly sells Monster Taming x Crime.,"case boards, magnifying glass reflections, foggy windows, clues",crime+monster_taming | crime+mystery | monster_taming+mystery,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Heroic demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: case boards, magnifying glass reflections, foggy windows, clues. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
152,B02,2,S16,16,R1C2,2,g30_secondary_shonen_022,g30_secondary_shonen_022.png,Elian Bennett,The Titan Abyss Cipher Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,mystery,Mystery,A kinetic sidekick concept that overtly sells Kaiju x Cosmic Horror.,"case boards, magnifying glass reflections, foggy windows, clues",cosmic_horror+kaiju | cosmic_horror+mystery | kaiju+mystery,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: case boards, magnifying glass reflections, foggy windows, clues. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
153,B02,2,S16,16,R1C3,3,g30_secondary_shonen_023,g30_secondary_shonen_023.png,Emi Bennett,The Beast Underworld Mirth Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,comedy,Comedy,A battle-ready sidekick concept that overtly sells Monster Taming x Crime.,"playful props, bright signage, exaggerated set pieces",comedy+crime | comedy+monster_taming | crime+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: playful props, bright signage, exaggerated set pieces. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
154,B02,2,S16,16,R1C4,4,g30_secondary_shonen_024,g30_secondary_shonen_024.png,Farah Bennett,The Titan Abyss Mirth Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,comedy,Comedy,A driven sidekick concept that overtly sells Kaiju x Cosmic Horror.,"playful props, bright signage, exaggerated set pieces",comedy+cosmic_horror | comedy+kaiju | cosmic_horror+kaiju,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Kinetic non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: playful props, bright signage, exaggerated set pieces. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
155,B02,2,S16,16,R1C5,5,g30_secondary_shonen_025,g30_secondary_shonen_025.png,Hana Bennett,The Beast Underworld Kitchen Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,cooking,Cooking,A fearless sidekick concept that overtly sells Monster Taming x Crime.,"steam, hanging pans, chopping blocks, spice stalls",cooking+crime | cooking+monster_taming | crime+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Battle-ready demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: steam, hanging pans, chopping blocks, spice stalls. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
156,B02,2,S16,16,R2C1,6,g30_secondary_shonen_026,g30_secondary_shonen_026.png,Haru Bennett,The Titan Abyss Kitchen Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,cooking,Cooking,A scrappy sidekick concept that overtly sells Kaiju x Cosmic Horror.,"steam, hanging pans, chopping blocks, spice stalls",cooking+cosmic_horror | cooking+kaiju | cosmic_horror+kaiju,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: steam, hanging pans, chopping blocks, spice stalls. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
157,B02,2,S16,16,R2C2,7,g30_secondary_shonen_027,g30_secondary_shonen_027.png,Idris Bennett,The Beast Underworld Command Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,military,Military,A heroic sidekick concept that overtly sells Monster Taming x Crime.,"sandbags, tactical screens, emblems, armored vehicles",crime+military | crime+monster_taming | military+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Fearless human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: sandbags, tactical screens, emblems, armored vehicles. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
158,B02,2,S16,16,R2C3,8,g30_secondary_shonen_028,g30_secondary_shonen_028.png,Imani Bennett,The Titan Abyss Command Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,military,Military,A hot-blooded sidekick concept that overtly sells Kaiju x Cosmic Horror.,"sandbags, tactical screens, emblems, armored vehicles",cosmic_horror+kaiju | cosmic_horror+military | kaiju+military,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Scrappy non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: sandbags, tactical screens, emblems, armored vehicles. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
159,B02,2,S16,16,R2C4,9,g30_secondary_shonen_029,g30_secondary_shonen_029.png,Jae Bennett,The Beast Underworld Spirit Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,supernatural,Supernatural,A resolute sidekick concept that overtly sells Monster Taming x Crime.,"spirit wisps, shrine gates, sigils, moonlit talismans",crime+monster_taming | crime+supernatural | monster_taming+supernatural,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Heroic demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: spirit wisps, shrine gates, sigils, moonlit talismans. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
160,B02,2,S16,16,R2C5,10,g30_secondary_shonen_030,g30_secondary_shonen_030.png,Jin Bennett,The Titan Abyss Spirit Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,supernatural,Supernatural,A kinetic sidekick concept that overtly sells Kaiju x Cosmic Horror.,"spirit wisps, shrine gates, sigils, moonlit talismans",cosmic_horror+kaiju | cosmic_horror+supernatural | kaiju+supernatural,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: spirit wisps, shrine gates, sigils, moonlit talismans. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
161,B02,2,S17,17,R1C1,1,g30_secondary_shonen_031,g30_secondary_shonen_031.png,Kael Bennett,The Beast Underworld Void Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,space,Space,A battle-ready sidekick concept that overtly sells Monster Taming x Crime.,"starfields, cockpit glass, planets, docking ports",crime+monster_taming | crime+space | monster_taming+space,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: starfields, cockpit glass, planets, docking ports. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
162,B02,2,S17,17,R1C2,2,g30_secondary_shonen_032,g30_secondary_shonen_032.png,Kira Bennett,The Titan Abyss Void Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,space,Space,A driven sidekick concept that overtly sells Kaiju x Cosmic Horror.,"starfields, cockpit glass, planets, docking ports",cosmic_horror+kaiju | cosmic_horror+space | kaiju+space,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Kinetic non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: starfields, cockpit glass, planets, docking ports. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
163,B02,2,S17,17,R1C3,3,g30_secondary_shonen_033,g30_secondary_shonen_033.png,Leila Bennett,The Beast Underworld Charm Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,magical,Magical,A fearless sidekick concept that overtly sells Monster Taming x Crime.,"sparkles, transformation glyphs, ribbon trails, pastel magic",crime+magical | crime+monster_taming | magical+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Battle-ready demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: sparkles, transformation glyphs, ribbon trails, pastel magic. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
164,B02,2,S17,17,R1C4,4,g30_secondary_shonen_034,g30_secondary_shonen_034.png,Lina Bennett,The Titan Abyss Charm Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,magical,Magical,A scrappy sidekick concept that overtly sells Kaiju x Cosmic Horror.,"sparkles, transformation glyphs, ribbon trails, pastel magic",cosmic_horror+kaiju | cosmic_horror+magical | kaiju+magical,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: sparkles, transformation glyphs, ribbon trails, pastel magic. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
165,B02,2,S17,17,R1C5,5,g30_secondary_shonen_035,g30_secondary_shonen_035.png,Lucan Bennett,The Beast Underworld Wild Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,survival,Survival,A heroic sidekick concept that overtly sells Monster Taming x Crime.,"camp gear, rough maps, ropes, storm clouds, scavenged supplies",crime+monster_taming | crime+survival | monster_taming+survival,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Fearless human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: camp gear, rough maps, ropes, storm clouds, scavenged supplies. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
166,B02,2,S17,17,R2C1,6,g30_secondary_shonen_036,g30_secondary_shonen_036.png,Mara Bennett,The Titan Abyss Wild Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,survival,Survival,A hot-blooded sidekick concept that overtly sells Kaiju x Cosmic Horror.,"camp gear, rough maps, ropes, storm clouds, scavenged supplies",cosmic_horror+kaiju | cosmic_horror+survival | kaiju+survival,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Scrappy non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: camp gear, rough maps, ropes, storm clouds, scavenged supplies. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
167,B02,2,S17,17,R2C2,7,g30_secondary_shonen_037,g30_secondary_shonen_037.png,Mika Bennett,The Beast Underworld Corsair Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,pirate,Pirate,A resolute sidekick concept that overtly sells Monster Taming x Crime.,"rigging, maps, cannon smoke, treasure, ocean spray",crime+monster_taming | crime+pirate | monster_taming+pirate,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Heroic demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: rigging, maps, cannon smoke, treasure, ocean spray. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
168,B02,2,S17,17,R2C3,8,g30_secondary_shonen_038,g30_secondary_shonen_038.png,Mina Bennett,The Titan Abyss Corsair Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,pirate,Pirate,A kinetic sidekick concept that overtly sells Kaiju x Cosmic Horror.,"rigging, maps, cannon smoke, treasure, ocean spray",cosmic_horror+kaiju | cosmic_horror+pirate | kaiju+pirate,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: rigging, maps, cannon smoke, treasure, ocean spray. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
169,B02,2,S17,17,R2C4,9,g30_secondary_shonen_039,g30_secondary_shonen_039.png,Nadia Bennett,The Beast Underworld Fist Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,martial,Martial Arts,A battle-ready sidekick concept that overtly sells Monster Taming x Crime.,"dojo banners, shattered tiles, temple gates, training gear",crime+martial | crime+monster_taming | martial+monster_taming,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: dojo banners, shattered tiles, temple gates, training gear. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
170,B02,2,S17,17,R2C5,10,g30_secondary_shonen_040,g30_secondary_shonen_040.png,Nao Bennett,The Titan Abyss Fist Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,martial,Martial Arts,A driven sidekick concept that overtly sells Kaiju x Cosmic Horror.,"dojo banners, shattered tiles, temple gates, training gear",cosmic_horror+kaiju | cosmic_horror+martial | kaiju+martial,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Kinetic non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: dojo banners, shattered tiles, temple gates, training gear. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
171,B02,2,S18,18,R1C1,1,g30_secondary_shonen_041,g30_secondary_shonen_041.png,Niko Bennett,The Beast Underworld Myth Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,mythology,Mythology,A fearless sidekick concept that overtly sells Monster Taming x Crime.,"divine statues, laurel, sacred fire, heroic reliefs",crime+monster_taming | crime+mythology | monster_taming+mythology,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Battle-ready demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: divine statues, laurel, sacred fire, heroic reliefs. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
172,B02,2,S18,18,R1C2,2,g30_secondary_shonen_042,g30_secondary_shonen_042.png,Noor Bennett,The Titan Abyss Myth Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,mythology,Mythology,A scrappy sidekick concept that overtly sells Kaiju x Cosmic Horror.,"divine statues, laurel, sacred fire, heroic reliefs",cosmic_horror+kaiju | cosmic_horror+mythology | kaiju+mythology,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Driven human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: divine statues, laurel, sacred fire, heroic reliefs. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
173,B02,2,S18,18,R1C3,3,g30_secondary_shonen_043,g30_secondary_shonen_043.png,Rhea Bennett,The Beast Underworld North Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,nordic,Nordic,A heroic sidekick concept that overtly sells Monster Taming x Crime.,"snow, carved wood, longship details, aurora, fur banners",crime+monster_taming | crime+nordic | monster_taming+nordic,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Fearless human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: snow, carved wood, longship details, aurora, fur banners. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
174,B02,2,S18,18,R1C4,4,g30_secondary_shonen_044,g30_secondary_shonen_044.png,Ren Bennett,The Titan Abyss North Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,nordic,Nordic,A hot-blooded sidekick concept that overtly sells Kaiju x Cosmic Horror.,"snow, carved wood, longship details, aurora, fur banners",cosmic_horror+kaiju | cosmic_horror+nordic | kaiju+nordic,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Scrappy non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: snow, carved wood, longship details, aurora, fur banners. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
175,B02,2,S18,18,R1C5,5,g30_secondary_shonen_045,g30_secondary_shonen_045.png,Rin Bennett,The Beast Underworld Blade Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,samurai,Samurai,A resolute sidekick concept that overtly sells Monster Taming x Crime.,"paper screens, mon crests, lacquer, falling maple leaves",crime+monster_taming | crime+samurai | monster_taming+samurai,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Heroic demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: paper screens, mon crests, lacquer, falling maple leaves. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
176,B02,2,S18,18,R2C1,6,g30_secondary_shonen_046,g30_secondary_shonen_046.png,Samira Bennett,The Titan Abyss Blade Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,samurai,Samurai,A kinetic sidekick concept that overtly sells Kaiju x Cosmic Horror.,"paper screens, mon crests, lacquer, falling maple leaves",cosmic_horror+kaiju | cosmic_horror+samurai | kaiju+samurai,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: paper screens, mon crests, lacquer, falling maple leaves. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
177,B02,2,S18,18,R2C2,7,g30_secondary_shonen_047,g30_secondary_shonen_047.png,Sana Bennett,The Beast Underworld Shadow Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,shinobi,Shinobi,A battle-ready sidekick concept that overtly sells Monster Taming x Crime.,"moonlit rooftops, smoke bombs, hidden blades, bamboo",crime+monster_taming | crime+shinobi | monster_taming+shinobi,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Resolute human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: moonlit rooftops, smoke bombs, hidden blades, bamboo. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
178,B02,2,S18,18,R2C3,8,g30_secondary_shonen_048,g30_secondary_shonen_048.png,Sora Bennett,The Titan Abyss Shadow Wing,secondary,Sidekick,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,shinobi,Shinobi,A driven sidekick concept that overtly sells Kaiju x Cosmic Horror.,"moonlit rooftops, smoke bombs, hidden blades, bamboo",cosmic_horror+kaiju | cosmic_horror+shinobi | kaiju+shinobi,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Kinetic non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: moonlit rooftops, smoke bombs, hidden blades, bamboo. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
179,B02,2,S18,18,R2C4,9,g30_secondary_shonen_049,g30_secondary_shonen_049.png,Tala Bennett,The Beast Underworld Blood Wing,secondary,Sidekick,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,vampire,Vampire,A fearless sidekick concept that overtly sells Monster Taming x Crime.,"crimson moonlight, gothic windows, candelabras, coffin motifs",crime+monster_taming | crime+vampire | monster_taming+vampire,"A memorable supporting fighter or strategist who complements the lead without reading as generic. Battle-ready demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: crimson moonlight, gothic windows, candelabras, coffin motifs. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
