role,genre_a,genre_b,new_covering_ids,status
villain,cooking,martial,"[""cv3_villain_007""]",SOLVED
villain,cooking,samurai,"[""cv3_villain_010""]",SOLVED
villain,cooking,shinobi,"[""cv3_villain_011""]",SOLVED
villain,cooking,slice,"[""cv3_villain_010""]",SOLVED
villain,cooking,sports,"[""cv3_villain_009""]",SOLVED
villain,cooking,supernatural,"[""cv3_villain_006"", ""cv3_villain_008""]",SOLVED
villain,cooking,survival,"[""cv3_villain_011""]",SOLVED
villain,cyber,horror,"[""cv3_villain_012""]",SOLVED
villain,cyber,idol,"[""cv3_villain_013""]",SOLVED
villain,cyber,isekai,"[""cv3_villain_014""]",SOLVED
villain,cyber,martial,"[""cv3_villain_015""]",SOLVED
villain,cyber,military,"[""cv3_villain_014""]",SOLVED
villain,cyber,pirate,"[""cv3_villain_013""]",SOLVED
villain,cyber,samurai,"[""cv3_villain_001""]",SOLVED
villain,cyber,shinobi,"[""cv3_villain_012""]",SOLVED
villain,cyber,supernatural,"[""cv3_villain_006""]",SOLVED
villain,fantasy,horror,"[""cv3_villain_016""]",SOLVED
villain,fantasy,idol,"[""cv3_villain_017""]",SOLVED
villain,fantasy,martial,"[""cv3_villain_007""]",SOLVED
villain,fantasy,military,"[""cv3_villain_018""]",SOLVED
villain,fantasy,mystery,"[""cv3_villain_018""]",SOLVED
villain,fantasy,pirate,"[""cv3_villain_019""]",SOLVED
villain,fantasy,romance,"[""cv3_villain_020""]",SOLVED
villain,fantasy,samurai,"[""cv3_villain_020""]",SOLVED
villain,fantasy,shinobi,"[""cv3_villain_017""]",SOLVED
villain,fantasy,slice,"[""cv3_villain_016""]",SOLVED
villain,fantasy,supernatural,"[""cv3_villain_008""]",SOLVED
villain,fantasy,survival,"[""cv3_villain_019""]",SOLVED
villain,horror,magical,"[""cv3_villain_021""]",SOLVED
villain,horror,mecha,"[""cv3_villain_021""]",SOLVED
villain,horror,nordic,"[""cv3_villain_022""]",SOLVED
villain,horror,samurai,"[""cv3_villain_023""]",SOLVED
villain,horror,shinobi,"[""cv3_villain_012""]",SOLVED
villain,horror,slice,"[""cv3_villain_016""]",SOLVED
villain,horror,space,"[""cv3_villain_022""]",SOLVED
villain,idol,isekai,"[""cv3_villain_024""]",SOLVED
villain,idol,magical,"[""cv3_villain_025""]",SOLVED
villain,idol,mythology,"[""cv3_villain_025""]",SOLVED
villain,idol,pirate,"[""cv3_villain_013""]",SOLVED
villain,idol,samurai,"[""cv3_villain_026""]",SOLVED
villain,idol,shinobi,"[""cv3_villain_017""]",SOLVED
villain,idol,space,"[""cv3_villain_026""]",SOLVED
villain,idol,supernatural,"[""cv3_villain_024""]",SOLVED
villain,isekai,martial,"[""cv3_villain_027""]",SOLVED
villain,isekai,military,"[""cv3_villain_014""]",SOLVED
villain,isekai,mystery,"[""cv3_villain_028""]",SOLVED
villain,isekai,mythology,"[""cv3_villain_029"", ""cv3_villain_030""]",SOLVED
villain,isekai,nordic,"[""cv3_villain_028""]",SOLVED
villain,isekai,pirate,"[""cv3_villain_031""]",SOLVED
villain,isekai,romance,"[""cv3_villain_029""]",SOLVED
villain,isekai,samurai,"[""cv3_villain_030""]",SOLVED
villain,isekai,shinobi,"[""cv3_villain_032""]",SOLVED
villain,isekai,slice,"[""cv3_villain_027""]",SOLVED
villain,isekai,space,"[""cv3_villain_031""]",SOLVED
villain,isekai,sports,"[""cv3_villain_032""]",SOLVED
villain,isekai,supernatural,"[""cv3_villain_024""]",SOLVED
villain,magical,martial,"[""cv3_villain_033""]",SOLVED
villain,magical,mecha,"[""cv3_villain_021""]",SOLVED
villain,magical,mythology,"[""cv3_villain_025""]",SOLVED
villain,magical,pirate,"[""cv3_villain_034"", ""cv3_villain_035""]",SOLVED
villain,magical,romance,"[""cv3_villain_034""]",SOLVED
villain,magical,samurai,"[""cv3_villain_033""]",SOLVED
villain,magical,shinobi,"[""cv3_villain_035""]",SOLVED
villain,magical,slice,"[""cv3_villain_002""]",SOLVED
villain,magical,space,"[""cv3_villain_036""]",SOLVED
villain,magical,supernatural,"[""cv3_villain_036""]",SOLVED
villain,martial,mecha,"[""cv3_villain_037""]",SOLVED
villain,martial,mythology,"[""cv3_villain_037""]",SOLVED
villain,martial,nordic,"[""cv3_villain_038""]",SOLVED
villain,martial,samurai,"[""cv3_villain_033"", ""cv3_villain_052""]",SOLVED
villain,martial,shinobi,"[""cv3_villain_003"", ""cv3_villain_052""]",SOLVED
villain,martial,slice,"[""cv3_villain_027""]",SOLVED
villain,martial,space,"[""cv3_villain_015""]",SOLVED
villain,martial,survival,"[""cv3_villain_038""]",SOLVED
villain,mecha,mystery,"[""cv3_villain_039""]",SOLVED
villain,mecha,mythology,"[""cv3_villain_037""]",SOLVED
villain,mecha,nordic,"[""cv3_villain_039""]",SOLVED
villain,mecha,pirate,"[""cv3_villain_040""]",SOLVED
villain,mecha,samurai,"[""cv3_villain_040""]",SOLVED
villain,mecha,shinobi,"[""cv3_villain_041""]",SOLVED
villain,mecha,supernatural,"[""cv3_villain_042""]",SOLVED
villain,mecha,survival,"[""cv3_villain_042""]",SOLVED
villain,military,mystery,"[""cv3_villain_018""]",SOLVED
villain,military,mythology,"[""cv3_villain_043""]",SOLVED
villain,military,samurai,"[""cv3_villain_044""]",SOLVED
villain,military,shinobi,"[""cv3_villain_045""]",SOLVED
villain,military,space,"[""cv3_villain_043""]",SOLVED
villain,military,sports,"[""cv3_villain_044""]",SOLVED
villain,military,supernatural,"[""cv3_villain_045""]",SOLVED
villain,mystery,nordic,"[""cv3_villain_028"", ""cv3_villain_039""]",SOLVED
villain,mystery,samurai,"[""cv3_villain_046""]",SOLVED
villain,mystery,shinobi,"[""cv3_villain_046""]",SOLVED
villain,mystery,sports,"[""cv3_villain_004"", ""cv3_villain_009""]",SOLVED
villain,mythology,nordic,"[""cv3_villain_047""]",SOLVED
villain,mythology,romance,"[""cv3_villain_029""]",SOLVED
villain,mythology,samurai,"[""cv3_villain_030""]",SOLVED
villain,mythology,shinobi,"[""cv3_villain_047""]",SOLVED
villain,mythology,space,"[""cv3_villain_043""]",SOLVED
villain,mythology,supernatural,"[""cv3_villain_005""]",SOLVED
villain,nordic,samurai,"[""cv3_villain_048""]",SOLVED
villain,nordic,shinobi,"[""cv3_villain_047""]",SOLVED
villain,nordic,slice,"[""cv3_villain_049""]",SOLVED
villain,nordic,space,"[""cv3_villain_022""]",SOLVED
villain,nordic,sports,"[""cv3_villain_049""]",SOLVED
villain,nordic,supernatural,"[""cv3_villain_048""]",SOLVED
villain,nordic,survival,"[""cv3_villain_038""]",SOLVED
villain,pirate,romance,"[""cv3_villain_034""]",SOLVED
villain,pirate,samurai,"[""cv3_villain_040""]",SOLVED
villain,pirate,shinobi,"[""cv3_villain_035""]",SOLVED
villain,pirate,space,"[""cv3_villain_031""]",SOLVED
villain,pirate,survival,"[""cv3_villain_019""]",SOLVED
villain,romance,samurai,"[""cv3_villain_020""]",SOLVED
villain,romance,shinobi,"[""cv3_villain_041""]",SOLVED
villain,samurai,shinobi,"[""cv3_villain_046"", ""cv3_villain_052""]",SOLVED
villain,samurai,slice,"[""cv3_villain_010""]",SOLVED
villain,samurai,space,"[""cv3_villain_026""]",SOLVED
villain,samurai,sports,"[""cv3_villain_044""]",SOLVED
villain,samurai,supernatural,"[""cv3_villain_048""]",SOLVED
villain,samurai,survival,"[""cv3_villain_023""]",SOLVED
villain,shinobi,slice,"[""cv3_villain_050""]",SOLVED
villain,shinobi,space,"[""cv3_villain_050""]",SOLVED
villain,shinobi,sports,"[""cv3_villain_032""]",SOLVED
villain,shinobi,supernatural,"[""cv3_villain_045""]",SOLVED
villain,shinobi,survival,"[""cv3_villain_011""]",SOLVED
villain,slice,space,"[""cv3_villain_050""]",SOLVED
villain,slice,sports,"[""cv3_villain_049""]",SOLVED
villain,space,sports,"[""cv3_villain_051""]",SOLVED
villain,space,supernatural,"[""cv3_villain_036""]",SOLVED
villain,space,survival,"[""cv3_villain_051""]",SOLVED
villain,sports,survival,"[""cv3_villain_051""]",SOLVED
villain,supernatural,survival,"[""cv3_villain_042""]",SOLVED
