id,role,type,visibleAff,hiddenAff,pairEdges,existingGapsSupplied,firstAssignedGaps
cv3_mascot_003,pet,shonen,"[""isekai"", ""comedy""]",horror,"[""comedy|horror"", ""comedy|isekai"", ""horror|isekai""]","[""comedy|horror"", ""comedy|isekai"", ""horror|isekai""]","[""comedy|horror"", ""comedy|isekai"", ""horror|isekai""]"
cv3_mascot_004,pet,shonen,"[""samurai"", ""comedy""]",isekai,"[""comedy|isekai"", ""comedy|samurai"", ""isekai|samurai""]","[""comedy|isekai"", ""comedy|samurai"", ""isekai|samurai""]","[""comedy|samurai"", ""isekai|samurai""]"
cv3_mascot_005,pet,shonen,"[""magical"", ""romance""]",comedy,"[""comedy|magical"", ""comedy|romance"", ""magical|romance""]","[""comedy|magical"", ""comedy|romance"", ""magical|romance""]","[""comedy|magical"", ""comedy|romance"", ""magical|romance""]"
cv3_mascot_006,pet,shonen,"[""survival"", ""comedy""]",mystery,"[""comedy|mystery"", ""comedy|survival"", ""mystery|survival""]","[""comedy|mystery"", ""comedy|survival"", ""mystery|survival""]","[""comedy|mystery"", ""comedy|survival"", ""mystery|survival""]"
cv3_mascot_007,pet,shonen,"[""cooking"", ""horror""]",martial,"[""cooking|horror"", ""cooking|martial"", ""horror|martial""]","[""cooking|horror"", ""cooking|martial"", ""horror|martial""]","[""cooking|horror"", ""cooking|martial"", ""horror|martial""]"
cv3_mascot_008,pet,shonen,"[""samurai"", ""shinobi""]",cooking,"[""cooking|samurai"", ""cooking|shinobi"", ""samurai|shinobi""]","[""cooking|samurai"", ""cooking|shinobi"", ""samurai|shinobi""]","[""cooking|samurai"", ""cooking|shinobi"", ""samurai|shinobi""]"
cv3_mascot_009,pet,shonen,"[""survival"", ""cooking""]",supernatural,"[""cooking|supernatural"", ""cooking|survival"", ""supernatural|survival""]","[""cooking|supernatural"", ""cooking|survival"", ""supernatural|survival""]","[""cooking|supernatural"", ""cooking|survival"", ""supernatural|survival""]"
cv3_mascot_010,pet,shonen,"[""cyber"", ""fantasy""]",military,"[""cyber|fantasy"", ""cyber|military"", ""fantasy|military""]","[""cyber|fantasy"", ""cyber|military"", ""fantasy|military""]","[""cyber|fantasy"", ""cyber|military"", ""fantasy|military""]"
cv3_mascot_011,pet,shonen,"[""samurai"", ""cyber""]",horror,"[""cyber|horror"", ""cyber|samurai"", ""horror|samurai""]","[""cyber|horror"", ""cyber|samurai"", ""horror|samurai""]","[""cyber|horror"", ""cyber|samurai"", ""horror|samurai""]"
cv3_mascot_012,pet,shonen,"[""survival"", ""cyber""]",martial,"[""cyber|martial"", ""cyber|survival"", ""martial|survival""]","[""cyber|martial"", ""cyber|survival"", ""martial|survival""]","[""cyber|martial"", ""cyber|survival"", ""martial|survival""]"
cv3_mascot_013,pet,shonen,"[""shinobi"", ""cyber""]",slice,"[""cyber|shinobi"", ""cyber|slice"", ""shinobi|slice""]","[""cyber|shinobi"", ""cyber|slice"", ""shinobi|slice""]","[""cyber|shinobi"", ""cyber|slice"", ""shinobi|slice""]"
cv3_mascot_014,pet,shonen,"[""mythology"", ""slice""]",fantasy,"[""fantasy|mythology"", ""fantasy|slice"", ""mythology|slice""]","[""fantasy|mythology"", ""fantasy|slice"", ""mythology|slice""]","[""fantasy|mythology"", ""fantasy|slice"", ""mythology|slice""]"
cv3_mascot_015,pet,shonen,"[""supernatural"", ""fantasy""]",pirate,"[""fantasy|pirate"", ""fantasy|supernatural"", ""pirate|supernatural""]","[""fantasy|pirate"", ""fantasy|supernatural"", ""pirate|supernatural""]","[""fantasy|pirate"", ""fantasy|supernatural"", ""pirate|supernatural""]"
cv3_mascot_016,pet,shonen,"[""samurai"", ""fantasy""]",supernatural,"[""fantasy|samurai"", ""fantasy|supernatural"", ""samurai|supernatural""]","[""fantasy|samurai"", ""fantasy|supernatural"", ""samurai|supernatural""]","[""fantasy|samurai"", ""samurai|supernatural""]"
cv3_mascot_017,pet,shonen,"[""mecha"", ""horror""]",mythology,"[""horror|mecha"", ""horror|mythology"", ""mecha|mythology""]","[""horror|mecha"", ""horror|mythology"", ""mecha|mythology""]","[""horror|mecha"", ""horror|mythology"", ""mecha|mythology""]"
cv3_mascot_018,pet,shonen,"[""pirate"", ""horror""]",military,"[""horror|military"", ""horror|pirate"", ""military|pirate""]","[""horror|military"", ""horror|pirate"", ""military|pirate""]","[""horror|military"", ""horror|pirate"", ""military|pirate""]"
cv3_mascot_019,pet,shonen,"[""shinobi"", ""horror""]",mystery,"[""horror|mystery"", ""horror|shinobi"", ""mystery|shinobi""]","[""horror|mystery"", ""horror|shinobi"", ""mystery|shinobi""]","[""horror|mystery"", ""horror|shinobi"", ""mystery|shinobi""]"
cv3_mascot_020,pet,shonen,"[""pirate"", ""sports""]",horror,"[""horror|pirate"", ""horror|sports"", ""pirate|sports""]","[""horror|pirate"", ""horror|sports"", ""pirate|sports""]","[""horror|sports"", ""pirate|sports""]"
cv3_mascot_021,pet,shonen,"[""pirate"", ""idol""]",isekai,"[""idol|isekai"", ""idol|pirate"", ""isekai|pirate""]","[""idol|isekai"", ""idol|pirate"", ""isekai|pirate""]","[""idol|isekai"", ""idol|pirate"", ""isekai|pirate""]"
cv3_mascot_022,pet,shonen,"[""mecha"", ""idol""]",martial,"[""idol|martial"", ""idol|mecha"", ""martial|mecha""]","[""idol|martial"", ""idol|mecha"", ""martial|mecha""]","[""idol|martial"", ""idol|mecha"", ""martial|mecha""]"
cv3_mascot_023,pet,shonen,"[""mythology"", ""slice""]",idol,"[""idol|mythology"", ""idol|slice"", ""mythology|slice""]","[""idol|mythology"", ""idol|slice"", ""mythology|slice""]","[""idol|mythology"", ""idol|slice""]"
cv3_mascot_024,pet,shonen,"[""romance"", ""idol""]",nordic,"[""idol|nordic"", ""idol|romance"", ""nordic|romance""]","[""idol|nordic"", ""idol|romance"", ""nordic|romance""]","[""idol|nordic"", ""idol|romance"", ""nordic|romance""]"
cv3_mascot_025,pet,shonen,"[""samurai"", ""idol""]",sports,"[""idol|samurai"", ""idol|sports"", ""samurai|sports""]","[""idol|samurai"", ""idol|sports"", ""samurai|sports""]","[""idol|samurai"", ""idol|sports"", ""samurai|sports""]"
cv3_mascot_026,pet,shonen,"[""shinobi"", ""idol""]",space,"[""idol|shinobi"", ""idol|space"", ""shinobi|space""]","[""idol|shinobi"", ""idol|space"", ""shinobi|space""]","[""idol|shinobi"", ""idol|space"", ""shinobi|space""]"
cv3_mascot_027,pet,shojo,"[""mecha"", ""isekai""]",supernatural,"[""isekai|mecha"", ""isekai|supernatural"", ""mecha|supernatural""]","[""isekai|mecha"", ""isekai|supernatural"", ""mecha|supernatural""]","[""isekai|mecha"", ""isekai|supernatural"", ""mecha|supernatural""]"
cv3_mascot_028,pet,shojo,"[""isekai"", ""military""]",mythology,"[""isekai|military"", ""isekai|mythology"", ""military|mythology""]","[""isekai|military"", ""isekai|mythology"", ""military|mythology""]","[""isekai|military"", ""isekai|mythology"", ""military|mythology""]"
cv3_mascot_029,pet,shojo,"[""mystery"", ""slice""]",isekai,"[""isekai|mystery"", ""isekai|slice"", ""mystery|slice""]","[""isekai|mystery"", ""isekai|slice"", ""mystery|slice""]","[""isekai|mystery"", ""isekai|slice"", ""mystery|slice""]"
cv3_mascot_030,pet,shojo,"[""shinobi"", ""isekai""]",sports,"[""isekai|shinobi"", ""isekai|sports"", ""shinobi|sports""]","[""isekai|shinobi"", ""isekai|sports"", ""shinobi|sports""]","[""isekai|shinobi"", ""isekai|sports"", ""shinobi|sports""]"
cv3_mascot_031,pet,shojo,"[""isekai"", ""space""]",sports,"[""isekai|space"", ""isekai|sports"", ""space|sports""]","[""isekai|space"", ""isekai|sports"", ""space|sports""]","[""isekai|space"", ""space|sports""]"
cv3_mascot_032,pet,shojo,"[""martial"", ""sports""]",magical,"[""magical|martial"", ""magical|sports"", ""martial|sports""]","[""magical|martial"", ""magical|sports"", ""martial|sports""]","[""magical|martial"", ""magical|sports"", ""martial|sports""]"
cv3_mascot_033,pet,shojo,"[""samurai"", ""magical""]",mystery,"[""magical|mystery"", ""magical|samurai"", ""mystery|samurai""]","[""magical|mystery"", ""magical|samurai"", ""mystery|samurai""]","[""magical|mystery"", ""magical|samurai"", ""mystery|samurai""]"
cv3_mascot_034,pet,shojo,"[""shinobi"", ""magical""]",nordic,"[""magical|nordic"", ""magical|shinobi"", ""nordic|shinobi""]","[""magical|nordic"", ""magical|shinobi"", ""nordic|shinobi""]","[""magical|nordic"", ""magical|shinobi"", ""nordic|shinobi""]"
cv3_mascot_035,pet,shojo,"[""shinobi"", ""martial""]",military,"[""martial|military"", ""martial|shinobi"", ""military|shinobi""]","[""martial|military"", ""martial|shinobi"", ""military|shinobi""]","[""martial|military"", ""martial|shinobi"", ""military|shinobi""]"
cv3_mascot_036,pet,shojo,"[""space"", ""martial""]",mystery,"[""martial|mystery"", ""martial|space"", ""mystery|space""]","[""martial|mystery"", ""martial|space"", ""mystery|space""]","[""martial|mystery"", ""martial|space"", ""mystery|space""]"
cv3_mascot_037,pet,shojo,"[""samurai"", ""martial""]",slice,"[""martial|samurai"", ""martial|slice"", ""samurai|slice""]","[""martial|samurai"", ""martial|slice"", ""samurai|slice""]","[""martial|samurai"", ""martial|slice"", ""samurai|slice""]"
cv3_mascot_038,pet,shojo,"[""mecha"", ""military""]",nordic,"[""mecha|military"", ""mecha|nordic"", ""military|nordic""]","[""mecha|military"", ""mecha|nordic"", ""military|nordic""]","[""mecha|military"", ""mecha|nordic"", ""military|nordic""]"
cv3_mascot_039,pet,shojo,"[""mecha"", ""samurai""]",romance,"[""mecha|romance"", ""mecha|samurai"", ""romance|samurai""]","[""mecha|romance"", ""mecha|samurai"", ""romance|samurai""]","[""mecha|romance"", ""mecha|samurai"", ""romance|samurai""]"
cv3_mascot_040,pet,shojo,"[""mecha"", ""shinobi""]",survival,"[""mecha|shinobi"", ""mecha|survival"", ""shinobi|survival""]","[""mecha|shinobi"", ""mecha|survival"", ""shinobi|survival""]","[""mecha|shinobi"", ""mecha|survival"", ""shinobi|survival""]"
cv3_mascot_041,pet,shojo,"[""mystery"", ""nordic""]",military,"[""military|mystery"", ""military|nordic"", ""mystery|nordic""]","[""military|mystery"", ""military|nordic"", ""mystery|nordic""]","[""military|mystery"", ""mystery|nordic""]"
cv3_mascot_042,pet,shojo,"[""samurai"", ""military""]",space,"[""military|samurai"", ""military|space"", ""samurai|space""]","[""military|samurai"", ""military|space"", ""samurai|space""]","[""military|samurai"", ""military|space"", ""samurai|space""]"
cv3_mascot_043,pet,shojo,"[""mythology"", ""romance""]",space,"[""mythology|romance"", ""mythology|space"", ""romance|space""]","[""mythology|romance"", ""mythology|space"", ""romance|space""]","[""mythology|romance"", ""mythology|space"", ""romance|space""]"
cv3_mascot_044,pet,shojo,"[""samurai"", ""mythology""]",survival,"[""mythology|samurai"", ""mythology|survival"", ""samurai|survival""]","[""mythology|samurai"", ""mythology|survival"", ""samurai|survival""]","[""mythology|samurai"", ""mythology|survival"", ""samurai|survival""]"
cv3_mascot_045,pet,shojo,"[""shinobi"", ""mythology""]",supernatural,"[""mythology|shinobi"", ""mythology|supernatural"", ""shinobi|supernatural""]","[""mythology|shinobi"", ""mythology|supernatural"", ""shinobi|supernatural""]","[""mythology|shinobi"", ""mythology|supernatural"", ""shinobi|supernatural""]"
cv3_mascot_046,pet,shojo,"[""samurai"", ""nordic""]",pirate,"[""nordic|pirate"", ""nordic|samurai"", ""pirate|samurai""]","[""nordic|pirate"", ""nordic|samurai"", ""pirate|samurai""]","[""nordic|pirate"", ""nordic|samurai"", ""pirate|samurai""]"
cv3_mascot_047,pet,shojo,"[""slice"", ""supernatural""]",nordic,"[""nordic|slice"", ""nordic|supernatural"", ""slice|supernatural""]","[""nordic|slice"", ""nordic|supernatural"", ""slice|supernatural""]","[""nordic|slice"", ""nordic|supernatural"", ""slice|supernatural""]"
cv3_mascot_048,pet,shojo,"[""shinobi"", ""pirate""]",romance,"[""pirate|romance"", ""pirate|shinobi"", ""romance|shinobi""]","[""pirate|romance"", ""pirate|shinobi"", ""romance|shinobi""]","[""pirate|romance"", ""pirate|shinobi"", ""romance|shinobi""]"
cv3_mascot_049,pet,shojo,"[""samurai"", ""shinobi""]",martial,"[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]","[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]",[]
cv3_mascot_050,pet,shojo,"[""mecha"", ""samurai""]",shinobi,"[""mecha|samurai"", ""mecha|shinobi"", ""samurai|shinobi""]","[""mecha|samurai"", ""mecha|shinobi"", ""samurai|shinobi""]",[]
cv3_mascot_051,pet,shojo,"[""samurai"", ""romance""]",slice,"[""romance|samurai"", ""romance|slice"", ""samurai|slice""]","[""romance|samurai"", ""samurai|slice""]",[]
cv3_mascot_052,pet,shojo,"[""shinobi"", ""cooking""]",survival,"[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]","[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]",[]
cv3_villain_001,villain,shonen,"[""samurai"", ""comedy""]",cyber,"[""comedy|cyber"", ""comedy|samurai"", ""cyber|samurai""]","[""comedy|cyber"", ""comedy|samurai"", ""cyber|samurai""]","[""comedy|cyber"", ""comedy|samurai"", ""cyber|samurai""]"
cv3_villain_002,villain,shonen,"[""magical"", ""slice""]",comedy,"[""comedy|magical"", ""comedy|slice"", ""magical|slice""]","[""comedy|magical"", ""comedy|slice"", ""magical|slice""]","[""comedy|magical"", ""comedy|slice"", ""magical|slice""]"
cv3_villain_003,villain,shonen,"[""shinobi"", ""comedy""]",martial,"[""comedy|martial"", ""comedy|shinobi"", ""martial|shinobi""]","[""comedy|martial"", ""comedy|shinobi"", ""martial|shinobi""]","[""comedy|martial"", ""comedy|shinobi"", ""martial|shinobi""]"
cv3_villain_004,villain,shonen,"[""comedy"", ""mystery""]",sports,"[""comedy|mystery"", ""comedy|sports"", ""mystery|sports""]","[""comedy|mystery"", ""comedy|sports"", ""mystery|sports""]","[""comedy|mystery"", ""comedy|sports"", ""mystery|sports""]"
cv3_villain_005,villain,shonen,"[""mythology"", ""supernatural""]",comedy,"[""comedy|mythology"", ""comedy|supernatural"", ""mythology|supernatural""]","[""comedy|mythology"", ""comedy|supernatural"", ""mythology|supernatural""]","[""comedy|mythology"", ""comedy|supernatural"", ""mythology|supernatural""]"
cv3_villain_006,villain,shonen,"[""supernatural"", ""cooking""]",cyber,"[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]","[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]","[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]"
cv3_villain_007,villain,shonen,"[""cooking"", ""fantasy""]",martial,"[""cooking|fantasy"", ""cooking|martial"", ""fantasy|martial""]","[""cooking|fantasy"", ""cooking|martial"", ""fantasy|martial""]","[""cooking|fantasy"", ""cooking|martial"", ""fantasy|martial""]"
cv3_villain_008,villain,shonen,"[""fantasy"", ""supernatural""]",cooking,"[""cooking|fantasy"", ""cooking|supernatural"", ""fantasy|supernatural""]","[""cooking|fantasy"", ""cooking|supernatural"", ""fantasy|supernatural""]","[""fantasy|supernatural""]"
cv3_villain_009,villain,shonen,"[""sports"", ""cooking""]",mystery,"[""cooking|mystery"", ""cooking|sports"", ""mystery|sports""]","[""cooking|sports"", ""mystery|sports""]","[""cooking|sports""]"
cv3_villain_010,villain,shonen,"[""samurai"", ""cooking""]",slice,"[""cooking|samurai"", ""cooking|slice"", ""samurai|slice""]","[""cooking|samurai"", ""cooking|slice"", ""samurai|slice""]","[""cooking|samurai"", ""cooking|slice"", ""samurai|slice""]"
cv3_villain_011,villain,shonen,"[""shinobi"", ""cooking""]",survival,"[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]","[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]","[""cooking|shinobi"", ""cooking|survival"", ""shinobi|survival""]"
cv3_villain_012,villain,shonen,"[""shinobi"", ""cyber""]",horror,"[""cyber|horror"", ""cyber|shinobi"", ""horror|shinobi""]","[""cyber|horror"", ""cyber|shinobi"", ""horror|shinobi""]","[""cyber|horror"", ""cyber|shinobi"", ""horror|shinobi""]"
cv3_villain_013,villain,shonen,"[""cyber"", ""idol""]",pirate,"[""cyber|idol"", ""cyber|pirate"", ""idol|pirate""]","[""cyber|idol"", ""cyber|pirate"", ""idol|pirate""]","[""cyber|idol"", ""cyber|pirate"", ""idol|pirate""]"
cv3_villain_014,villain,shonen,"[""isekai"", ""military""]",cyber,"[""cyber|isekai"", ""cyber|military"", ""isekai|military""]","[""cyber|isekai"", ""cyber|military"", ""isekai|military""]","[""cyber|isekai"", ""cyber|military"", ""isekai|military""]"
cv3_villain_015,villain,shonen,"[""space"", ""cyber""]",martial,"[""cyber|martial"", ""cyber|space"", ""martial|space""]","[""cyber|martial"", ""martial|space""]","[""cyber|martial"", ""martial|space""]"
cv3_villain_016,villain,shonen,"[""fantasy"", ""horror""]",slice,"[""fantasy|horror"", ""fantasy|slice"", ""horror|slice""]","[""fantasy|horror"", ""fantasy|slice"", ""horror|slice""]","[""fantasy|horror"", ""fantasy|slice"", ""horror|slice""]"
cv3_villain_017,villain,shonen,"[""shinobi"", ""fantasy""]",idol,"[""fantasy|idol"", ""fantasy|shinobi"", ""idol|shinobi""]","[""fantasy|idol"", ""fantasy|shinobi"", ""idol|shinobi""]","[""fantasy|idol"", ""fantasy|shinobi"", ""idol|shinobi""]"
cv3_villain_018,villain,shonen,"[""mystery"", ""fantasy""]",military,"[""fantasy|military"", ""fantasy|mystery"", ""military|mystery""]","[""fantasy|military"", ""fantasy|mystery"", ""military|mystery""]","[""fantasy|military"", ""fantasy|mystery"", ""military|mystery""]"
cv3_villain_019,villain,shonen,"[""fantasy"", ""pirate""]",survival,"[""fantasy|pirate"", ""fantasy|survival"", ""pirate|survival""]","[""fantasy|pirate"", ""fantasy|survival"", ""pirate|survival""]","[""fantasy|pirate"", ""fantasy|survival"", ""pirate|survival""]"
cv3_villain_020,villain,shonen,"[""samurai"", ""fantasy""]",romance,"[""fantasy|romance"", ""fantasy|samurai"", ""romance|samurai""]","[""fantasy|romance"", ""fantasy|samurai"", ""romance|samurai""]","[""fantasy|romance"", ""fantasy|samurai"", ""romance|samurai""]"
cv3_villain_021,villain,shonen,"[""mecha"", ""horror""]",magical,"[""horror|magical"", ""horror|mecha"", ""magical|mecha""]","[""horror|magical"", ""horror|mecha"", ""magical|mecha""]","[""horror|magical"", ""horror|mecha"", ""magical|mecha""]"
cv3_villain_022,villain,shonen,"[""horror"", ""nordic""]",space,"[""horror|nordic"", ""horror|space"", ""nordic|space""]","[""horror|nordic"", ""horror|space"", ""nordic|space""]","[""horror|nordic"", ""horror|space"", ""nordic|space""]"
cv3_villain_023,villain,shonen,"[""samurai"", ""horror""]",survival,"[""horror|samurai"", ""horror|survival"", ""samurai|survival""]","[""horror|samurai"", ""samurai|survival""]","[""horror|samurai"", ""samurai|survival""]"
cv3_villain_024,villain,shonen,"[""supernatural"", ""idol""]",isekai,"[""idol|isekai"", ""idol|supernatural"", ""isekai|supernatural""]","[""idol|isekai"", ""idol|supernatural"", ""isekai|supernatural""]","[""idol|isekai"", ""idol|supernatural"", ""isekai|supernatural""]"
cv3_villain_025,villain,shonen,"[""idol"", ""magical""]",mythology,"[""idol|magical"", ""idol|mythology"", ""magical|mythology""]","[""idol|magical"", ""idol|mythology"", ""magical|mythology""]","[""idol|magical"", ""idol|mythology"", ""magical|mythology""]"
cv3_villain_026,villain,shonen,"[""samurai"", ""idol""]",space,"[""idol|samurai"", ""idol|space"", ""samurai|space""]","[""idol|samurai"", ""idol|space"", ""samurai|space""]","[""idol|samurai"", ""idol|space"", ""samurai|space""]"
cv3_villain_027,villain,shojo,"[""slice"", ""isekai""]",martial,"[""isekai|martial"", ""isekai|slice"", ""martial|slice""]","[""isekai|martial"", ""isekai|slice"", ""martial|slice""]","[""isekai|martial"", ""isekai|slice"", ""martial|slice""]"
cv3_villain_028,villain,shojo,"[""isekai"", ""mystery""]",nordic,"[""isekai|mystery"", ""isekai|nordic"", ""mystery|nordic""]","[""isekai|mystery"", ""isekai|nordic"", ""mystery|nordic""]","[""isekai|mystery"", ""isekai|nordic"", ""mystery|nordic""]"
cv3_villain_029,villain,shojo,"[""mythology"", ""romance""]",isekai,"[""isekai|mythology"", ""isekai|romance"", ""mythology|romance""]","[""isekai|mythology"", ""isekai|romance"", ""mythology|romance""]","[""isekai|mythology"", ""isekai|romance"", ""mythology|romance""]"
cv3_villain_030,villain,shojo,"[""samurai"", ""isekai""]",mythology,"[""isekai|mythology"", ""isekai|samurai"", ""mythology|samurai""]","[""isekai|mythology"", ""isekai|samurai"", ""mythology|samurai""]","[""isekai|samurai"", ""mythology|samurai""]"
cv3_villain_031,villain,shojo,"[""isekai"", ""pirate""]",space,"[""isekai|pirate"", ""isekai|space"", ""pirate|space""]","[""isekai|pirate"", ""isekai|space"", ""pirate|space""]","[""isekai|pirate"", ""isekai|space"", ""pirate|space""]"
cv3_villain_032,villain,shojo,"[""shinobi"", ""isekai""]",sports,"[""isekai|shinobi"", ""isekai|sports"", ""shinobi|sports""]","[""isekai|shinobi"", ""isekai|sports"", ""shinobi|sports""]","[""isekai|shinobi"", ""isekai|sports"", ""shinobi|sports""]"
cv3_villain_033,villain,shojo,"[""samurai"", ""magical""]",martial,"[""magical|martial"", ""magical|samurai"", ""martial|samurai""]","[""magical|martial"", ""magical|samurai"", ""martial|samurai""]","[""magical|martial"", ""magical|samurai"", ""martial|samurai""]"
cv3_villain_034,villain,shojo,"[""magical"", ""pirate""]",romance,"[""magical|pirate"", ""magical|romance"", ""pirate|romance""]","[""magical|pirate"", ""magical|romance"", ""pirate|romance""]","[""magical|pirate"", ""magical|romance"", ""pirate|romance""]"
cv3_villain_035,villain,shojo,"[""shinobi"", ""magical""]",pirate,"[""magical|pirate"", ""magical|shinobi"", ""pirate|shinobi""]","[""magical|pirate"", ""magical|shinobi"", ""pirate|shinobi""]","[""magical|shinobi"", ""pirate|shinobi""]"
cv3_villain_036,villain,shojo,"[""supernatural"", ""magical""]",space,"[""magical|space"", ""magical|supernatural"", ""space|supernatural""]","[""magical|space"", ""magical|supernatural"", ""space|supernatural""]","[""magical|space"", ""magical|supernatural"", ""space|supernatural""]"
cv3_villain_037,villain,shojo,"[""mecha"", ""martial""]",mythology,"[""martial|mecha"", ""martial|mythology"", ""mecha|mythology""]","[""martial|mecha"", ""martial|mythology"", ""mecha|mythology""]","[""martial|mecha"", ""martial|mythology"", ""mecha|mythology""]"
cv3_villain_038,villain,shojo,"[""nordic"", ""survival""]",martial,"[""martial|nordic"", ""martial|survival"", ""nordic|survival""]","[""martial|nordic"", ""martial|survival"", ""nordic|survival""]","[""martial|nordic"", ""martial|survival"", ""nordic|survival""]"
cv3_villain_039,villain,shojo,"[""mecha"", ""mystery""]",nordic,"[""mecha|mystery"", ""mecha|nordic"", ""mystery|nordic""]","[""mecha|mystery"", ""mecha|nordic"", ""mystery|nordic""]","[""mecha|mystery"", ""mecha|nordic""]"
cv3_villain_040,villain,shojo,"[""mecha"", ""samurai""]",pirate,"[""mecha|pirate"", ""mecha|samurai"", ""pirate|samurai""]","[""mecha|pirate"", ""mecha|samurai"", ""pirate|samurai""]","[""mecha|pirate"", ""mecha|samurai"", ""pirate|samurai""]"
cv3_villain_041,villain,shojo,"[""mecha"", ""shinobi""]",romance,"[""mecha|romance"", ""mecha|shinobi"", ""romance|shinobi""]","[""mecha|shinobi"", ""romance|shinobi""]","[""mecha|shinobi"", ""romance|shinobi""]"
cv3_villain_042,villain,shojo,"[""mecha"", ""supernatural""]",survival,"[""mecha|supernatural"", ""mecha|survival"", ""supernatural|survival""]","[""mecha|supernatural"", ""mecha|survival"", ""supernatural|survival""]","[""mecha|supernatural"", ""mecha|survival"", ""supernatural|survival""]"
cv3_villain_043,villain,shojo,"[""military"", ""mythology""]",space,"[""military|mythology"", ""military|space"", ""mythology|space""]","[""military|mythology"", ""military|space"", ""mythology|space""]","[""military|mythology"", ""military|space"", ""mythology|space""]"
cv3_villain_044,villain,shojo,"[""samurai"", ""military""]",sports,"[""military|samurai"", ""military|sports"", ""samurai|sports""]","[""military|samurai"", ""military|sports"", ""samurai|sports""]","[""military|samurai"", ""military|sports"", ""samurai|sports""]"
cv3_villain_045,villain,shojo,"[""shinobi"", ""military""]",supernatural,"[""military|shinobi"", ""military|supernatural"", ""shinobi|supernatural""]","[""military|shinobi"", ""military|supernatural"", ""shinobi|supernatural""]","[""military|shinobi"", ""military|supernatural"", ""shinobi|supernatural""]"
cv3_villain_046,villain,shojo,"[""samurai"", ""shinobi""]",mystery,"[""mystery|samurai"", ""mystery|shinobi"", ""samurai|shinobi""]","[""mystery|samurai"", ""mystery|shinobi"", ""samurai|shinobi""]","[""mystery|samurai"", ""mystery|shinobi"", ""samurai|shinobi""]"
cv3_villain_047,villain,shojo,"[""shinobi"", ""mythology""]",nordic,"[""mythology|nordic"", ""mythology|shinobi"", ""nordic|shinobi""]","[""mythology|nordic"", ""mythology|shinobi"", ""nordic|shinobi""]","[""mythology|nordic"", ""mythology|shinobi"", ""nordic|shinobi""]"
cv3_villain_048,villain,shojo,"[""samurai"", ""nordic""]",supernatural,"[""nordic|samurai"", ""nordic|supernatural"", ""samurai|supernatural""]","[""nordic|samurai"", ""nordic|supernatural"", ""samurai|supernatural""]","[""nordic|samurai"", ""nordic|supernatural"", ""samurai|supernatural""]"
cv3_villain_049,villain,shojo,"[""nordic"", ""slice""]",sports,"[""nordic|slice"", ""nordic|sports"", ""slice|sports""]","[""nordic|slice"", ""nordic|sports"", ""slice|sports""]","[""nordic|slice"", ""nordic|sports"", ""slice|sports""]"
cv3_villain_050,villain,shojo,"[""shinobi"", ""slice""]",space,"[""shinobi|slice"", ""shinobi|space"", ""slice|space""]","[""shinobi|slice"", ""shinobi|space"", ""slice|space""]","[""shinobi|slice"", ""shinobi|space"", ""slice|space""]"
cv3_villain_051,villain,shojo,"[""survival"", ""space""]",sports,"[""space|sports"", ""space|survival"", ""sports|survival""]","[""space|sports"", ""space|survival"", ""sports|survival""]","[""space|sports"", ""space|survival"", ""sports|survival""]"
cv3_villain_052,villain,shojo,"[""samurai"", ""shinobi""]",martial,"[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]","[""martial|samurai"", ""martial|shinobi"", ""samurai|shinobi""]",[]
