sequence,batch_code,sheet_code,sheet_position,character_id,filename_png,name,epithet,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,staging_filename_webp
149,B02,S15,R2C4,g30_secondary_shonen_019,g30_secondary_shonen_019.png,Yara Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,idol,g30_secondary_shonen_019.webp
150,B02,S15,R2C5,g30_secondary_shonen_020,g30_secondary_shonen_020.png,Selene Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,idol,g30_secondary_shonen_020.webp
151,B02,S16,R1C1,g30_secondary_shonen_021,g30_secondary_shonen_021.png,Kestrel Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,mystery,g30_secondary_shonen_021.webp
152,B02,S16,R1C2,g30_secondary_shonen_022,g30_secondary_shonen_022.png,Jin Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,mystery,g30_secondary_shonen_022.webp
153,B02,S16,R1C3,g30_secondary_shonen_023,g30_secondary_shonen_023.png,Aziel Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,comedy,g30_secondary_shonen_023.webp
154,B02,S16,R1C4,g30_secondary_shonen_024,g30_secondary_shonen_024.png,Cassian Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,comedy,g30_secondary_shonen_024.webp
155,B02,S16,R1C5,g30_secondary_shonen_025,g30_secondary_shonen_025.png,Ren Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,cooking,g30_secondary_shonen_025.webp
156,B02,S16,R2C1,g30_secondary_shonen_026,g30_secondary_shonen_026.png,Soraya Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,cooking,g30_secondary_shonen_026.webp
157,B02,S16,R2C2,g30_secondary_shonen_027,g30_secondary_shonen_027.png,Nadia Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,military,g30_secondary_shonen_027.webp
158,B02,S16,R2C3,g30_secondary_shonen_028,g30_secondary_shonen_028.png,Asha Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,military,g30_secondary_shonen_028.webp
159,B02,S16,R2C4,g30_secondary_shonen_029,g30_secondary_shonen_029.png,Lio Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,supernatural,g30_secondary_shonen_029.webp
160,B02,S16,R2C5,g30_secondary_shonen_030,g30_secondary_shonen_030.png,Kael Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,supernatural,g30_secondary_shonen_030.webp
161,B02,S17,R1C1,g30_secondary_shonen_031,g30_secondary_shonen_031.png,Soren Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,space,g30_secondary_shonen_031.webp
162,B02,S17,R1C2,g30_secondary_shonen_032,g30_secondary_shonen_032.png,Riven Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,space,g30_secondary_shonen_032.webp
163,B02,S17,R1C3,g30_secondary_shonen_033,g30_secondary_shonen_033.png,Darian Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,magical,g30_secondary_shonen_033.webp
164,B02,S17,R1C4,g30_secondary_shonen_034,g30_secondary_shonen_034.png,Yara Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,magical,g30_secondary_shonen_034.webp
165,B02,S17,R1C5,g30_secondary_shonen_035,g30_secondary_shonen_035.png,Selene Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,survival,g30_secondary_shonen_035.webp
166,B02,S17,R2C1,g30_secondary_shonen_036,g30_secondary_shonen_036.png,Kestrel Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,survival,g30_secondary_shonen_036.webp
167,B02,S17,R2C2,g30_secondary_shonen_037,g30_secondary_shonen_037.png,Jin Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,pirate,g30_secondary_shonen_037.webp
168,B02,S17,R2C3,g30_secondary_shonen_038,g30_secondary_shonen_038.png,Aziel Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,pirate,g30_secondary_shonen_038.webp
169,B02,S17,R2C4,g30_secondary_shonen_039,g30_secondary_shonen_039.png,Cassian Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,martial,g30_secondary_shonen_039.webp
170,B02,S17,R2C5,g30_secondary_shonen_040,g30_secondary_shonen_040.png,Ren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,martial,g30_secondary_shonen_040.webp
171,B02,S18,R1C1,g30_secondary_shonen_041,g30_secondary_shonen_041.png,Soraya Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,mythology,g30_secondary_shonen_041.webp
172,B02,S18,R1C2,g30_secondary_shonen_042,g30_secondary_shonen_042.png,Nadia Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,mythology,g30_secondary_shonen_042.webp
173,B02,S18,R1C3,g30_secondary_shonen_043,g30_secondary_shonen_043.png,Asha Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,nordic,g30_secondary_shonen_043.webp
174,B02,S18,R1C4,g30_secondary_shonen_044,g30_secondary_shonen_044.png,Lio Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,nordic,g30_secondary_shonen_044.webp
175,B02,S18,R1C5,g30_secondary_shonen_045,g30_secondary_shonen_045.png,Kael Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,samurai,g30_secondary_shonen_045.webp
176,B02,S18,R2C1,g30_secondary_shonen_046,g30_secondary_shonen_046.png,Soren Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,samurai,g30_secondary_shonen_046.webp
177,B02,S18,R2C2,g30_secondary_shonen_047,g30_secondary_shonen_047.png,Riven Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,shinobi,g30_secondary_shonen_047.webp
178,B02,S18,R2C3,g30_secondary_shonen_048,g30_secondary_shonen_048.png,Darian Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,shinobi,g30_secondary_shonen_048.webp
179,B02,S18,R2C4,g30_secondary_shonen_049,g30_secondary_shonen_049.png,Yara Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,vampire,g30_secondary_shonen_049.webp
180,B02,S18,R2C5,g30_secondary_shonen_050,g30_secondary_shonen_050.png,Selene Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,vampire,g30_secondary_shonen_050.webp
181,B02,S19,R1C1,g30_secondary_shonen_051,g30_secondary_shonen_051.png,Kestrel Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,grimdark,g30_secondary_shonen_051.webp
182,B02,S19,R1C2,g30_secondary_shonen_052,g30_secondary_shonen_052.png,Jin Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,grimdark,g30_secondary_shonen_052.webp
183,B02,S19,R1C3,g30_secondary_shonen_053,g30_secondary_shonen_053.png,Aziel Mirren,The Ashen Viper,secondary,shonen,mecha,isekai,monster_taming,g30_secondary_shonen_053.webp
184,B02,S19,R1C4,g30_secondary_shonen_054,g30_secondary_shonen_054.png,Cassian Crowe,The Cinder Corsair,secondary,shonen,slice,horror,arabia,g30_secondary_shonen_054.webp
185,B02,S19,R1C5,g30_secondary_shonen_055,g30_secondary_shonen_055.png,Ren Locke,The Ashen Viper,secondary,shonen,romance,sports,arabia,g30_secondary_shonen_055.webp
186,B02,S19,R2C1,g30_secondary_shonen_056,g30_secondary_shonen_056.png,Soraya Mirren,The Cinder Corsair,secondary,shonen,cyber,fantasy,arabia,g30_secondary_shonen_056.webp
187,B02,S19,R2C2,g30_secondary_shonen_057,g30_secondary_shonen_057.png,Nadia Crowe,The Ashen Viper,secondary,shonen,idol,mystery,arabia,g30_secondary_shonen_057.webp
188,B02,S19,R2C3,g30_secondary_shonen_058,g30_secondary_shonen_058.png,Asha Locke,The Cinder Corsair,secondary,shonen,comedy,cooking,arabia,g30_secondary_shonen_058.webp
189,B02,S19,R2C4,g30_secondary_shonen_059,g30_secondary_shonen_059.png,Lio Mirren,The Ashen Viper,secondary,shonen,military,supernatural,arabia,g30_secondary_shonen_059.webp
190,B02,S19,R2C5,g30_secondary_shonen_060,g30_secondary_shonen_060.png,Kael Crowe,The Cinder Corsair,secondary,shonen,space,magical,arabia,g30_secondary_shonen_060.webp
191,B02,S20,R1C1,g30_secondary_shonen_061,g30_secondary_shonen_061.png,Soren Locke,The Ashen Viper,secondary,shonen,survival,pirate,arabia,g30_secondary_shonen_061.webp
192,B02,S20,R1C2,g30_secondary_shonen_062,g30_secondary_shonen_062.png,Riven Mirren,The Cinder Corsair,secondary,shonen,martial,mythology,arabia,g30_secondary_shonen_062.webp
193,B02,S20,R1C3,g30_secondary_shonen_063,g30_secondary_shonen_063.png,Darian Crowe,The Ashen Viper,secondary,shonen,nordic,samurai,arabia,g30_secondary_shonen_063.webp
194,B02,S20,R1C4,g30_secondary_shonen_064,g30_secondary_shonen_064.png,Yara Locke,The Cinder Corsair,secondary,shonen,shinobi,vampire,arabia,g30_secondary_shonen_064.webp
195,B02,S20,R1C5,g30_secondary_shonen_065,g30_secondary_shonen_065.png,Selene Mirren,The Ashen Viper,secondary,shonen,monster_taming,arabia,grimdark,g30_secondary_shonen_065.webp
196,B02,S20,R2C1,g30_secondary_shojo_001,g30_secondary_shojo_001.png,Nadia Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,kaiju,g30_secondary_shojo_001.webp
197,B02,S20,R2C2,g30_secondary_shojo_002,g30_secondary_shojo_002.png,Asha Locke,The Dune Hunter,secondary,shojo,monster_taming,cosmic_horror,arabia,g30_secondary_shojo_002.webp
198,B02,S20,R2C3,g30_secondary_shojo_003,g30_secondary_shojo_003.png,Lio Mirren,The Glass Duelist,secondary,shojo,crime,cosmic_horror,mecha,g30_secondary_shojo_003.webp
199,B02,S20,R2C4,g30_secondary_shojo_004,g30_secondary_shojo_004.png,Kael Crowe,The Dune Hunter,secondary,shojo,kaiju,arabia,mecha,g30_secondary_shojo_004.webp
200,B02,S20,R2C5,g30_secondary_shojo_005,g30_secondary_shojo_005.png,Soren Locke,The Glass Duelist,secondary,shojo,crime,arabia,isekai,g30_secondary_shojo_005.webp
201,B03,S21,R1C1,g30_secondary_shojo_006,g30_secondary_shojo_006.png,Riven Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,isekai,g30_secondary_shojo_006.webp
202,B03,S21,R1C2,g30_secondary_shojo_007,g30_secondary_shojo_007.png,Darian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,slice,g30_secondary_shojo_007.webp
203,B03,S21,R1C3,g30_secondary_shojo_008,g30_secondary_shojo_008.png,Yara Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,slice,g30_secondary_shojo_008.webp
204,B03,S21,R1C4,g30_secondary_shojo_009,g30_secondary_shojo_009.png,Selene Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,horror,g30_secondary_shojo_009.webp
205,B03,S21,R1C5,g30_secondary_shojo_010,g30_secondary_shojo_010.png,Kestrel Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,horror,g30_secondary_shojo_010.webp
206,B03,S21,R2C1,g30_secondary_shojo_011,g30_secondary_shojo_011.png,Jin Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,romance,g30_secondary_shojo_011.webp
207,B03,S21,R2C2,g30_secondary_shojo_012,g30_secondary_shojo_012.png,Aziel Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,romance,g30_secondary_shojo_012.webp
208,B03,S21,R2C3,g30_secondary_shojo_013,g30_secondary_shojo_013.png,Cassian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,sports,g30_secondary_shojo_013.webp
209,B03,S21,R2C4,g30_secondary_shojo_014,g30_secondary_shojo_014.png,Ren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,sports,g30_secondary_shojo_014.webp
210,B03,S21,R2C5,g30_secondary_shojo_015,g30_secondary_shojo_015.png,Soraya Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,cyber,g30_secondary_shojo_015.webp
211,B03,S22,R1C1,g30_secondary_shojo_016,g30_secondary_shojo_016.png,Nadia Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,cyber,g30_secondary_shojo_016.webp
212,B03,S22,R1C2,g30_secondary_shojo_017,g30_secondary_shojo_017.png,Asha Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,fantasy,g30_secondary_shojo_017.webp
213,B03,S22,R1C3,g30_secondary_shojo_018,g30_secondary_shojo_018.png,Lio Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,fantasy,g30_secondary_shojo_018.webp
214,B03,S22,R1C4,g30_secondary_shojo_019,g30_secondary_shojo_019.png,Kael Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,idol,g30_secondary_shojo_019.webp
215,B03,S22,R1C5,g30_secondary_shojo_020,g30_secondary_shojo_020.png,Soren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,idol,g30_secondary_shojo_020.webp
216,B03,S22,R2C1,g30_secondary_shojo_021,g30_secondary_shojo_021.png,Riven Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,mystery,g30_secondary_shojo_021.webp
217,B03,S22,R2C2,g30_secondary_shojo_022,g30_secondary_shojo_022.png,Darian Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,mystery,g30_secondary_shojo_022.webp
218,B03,S22,R2C3,g30_secondary_shojo_023,g30_secondary_shojo_023.png,Yara Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,comedy,g30_secondary_shojo_023.webp
219,B03,S22,R2C4,g30_secondary_shojo_024,g30_secondary_shojo_024.png,Selene Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,comedy,g30_secondary_shojo_024.webp
220,B03,S22,R2C5,g30_secondary_shojo_025,g30_secondary_shojo_025.png,Kestrel Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,cooking,g30_secondary_shojo_025.webp
221,B03,S23,R1C1,g30_secondary_shojo_026,g30_secondary_shojo_026.png,Jin Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,cooking,g30_secondary_shojo_026.webp
222,B03,S23,R1C2,g30_secondary_shojo_027,g30_secondary_shojo_027.png,Aziel Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,military,g30_secondary_shojo_027.webp
223,B03,S23,R1C3,g30_secondary_shojo_028,g30_secondary_shojo_028.png,Cassian Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,military,g30_secondary_shojo_028.webp
224,B03,S23,R1C4,g30_secondary_shojo_029,g30_secondary_shojo_029.png,Ren Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,supernatural,g30_secondary_shojo_029.webp
225,B03,S23,R1C5,g30_secondary_shojo_030,g30_secondary_shojo_030.png,Soraya Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,supernatural,g30_secondary_shojo_030.webp
226,B03,S23,R2C1,g30_secondary_shojo_031,g30_secondary_shojo_031.png,Nadia Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,space,g30_secondary_shojo_031.webp
227,B03,S23,R2C2,g30_secondary_shojo_032,g30_secondary_shojo_032.png,Asha Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,space,g30_secondary_shojo_032.webp
228,B03,S23,R2C3,g30_secondary_shojo_033,g30_secondary_shojo_033.png,Lio Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,magical,g30_secondary_shojo_033.webp
229,B03,S23,R2C4,g30_secondary_shojo_034,g30_secondary_shojo_034.png,Kael Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,magical,g30_secondary_shojo_034.webp
230,B03,S23,R2C5,g30_secondary_shojo_035,g30_secondary_shojo_035.png,Soren Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,survival,g30_secondary_shojo_035.webp
231,B03,S24,R1C1,g30_secondary_shojo_036,g30_secondary_shojo_036.png,Riven Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,survival,g30_secondary_shojo_036.webp
232,B03,S24,R1C2,g30_secondary_shojo_037,g30_secondary_shojo_037.png,Darian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,pirate,g30_secondary_shojo_037.webp
233,B03,S24,R1C3,g30_secondary_shojo_038,g30_secondary_shojo_038.png,Yara Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,pirate,g30_secondary_shojo_038.webp
234,B03,S24,R1C4,g30_secondary_shojo_039,g30_secondary_shojo_039.png,Selene Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,martial,g30_secondary_shojo_039.webp
235,B03,S24,R1C5,g30_secondary_shojo_040,g30_secondary_shojo_040.png,Kestrel Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,martial,g30_secondary_shojo_040.webp
236,B03,S24,R2C1,g30_secondary_shojo_041,g30_secondary_shojo_041.png,Jin Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,mythology,g30_secondary_shojo_041.webp
237,B03,S24,R2C2,g30_secondary_shojo_042,g30_secondary_shojo_042.png,Aziel Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,mythology,g30_secondary_shojo_042.webp
238,B03,S24,R2C3,g30_secondary_shojo_043,g30_secondary_shojo_043.png,Cassian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,nordic,g30_secondary_shojo_043.webp
239,B03,S24,R2C4,g30_secondary_shojo_044,g30_secondary_shojo_044.png,Ren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,nordic,g30_secondary_shojo_044.webp
240,B03,S24,R2C5,g30_secondary_shojo_045,g30_secondary_shojo_045.png,Soraya Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,samurai,g30_secondary_shojo_045.webp
241,B03,S25,R1C1,g30_secondary_shojo_046,g30_secondary_shojo_046.png,Nadia Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,samurai,g30_secondary_shojo_046.webp
242,B03,S25,R1C2,g30_secondary_shojo_047,g30_secondary_shojo_047.png,Asha Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,shinobi,g30_secondary_shojo_047.webp
243,B03,S25,R1C3,g30_secondary_shojo_048,g30_secondary_shojo_048.png,Lio Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,shinobi,g30_secondary_shojo_048.webp
244,B03,S25,R1C4,g30_secondary_shojo_049,g30_secondary_shojo_049.png,Kael Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,vampire,g30_secondary_shojo_049.webp
245,B03,S25,R1C5,g30_secondary_shojo_050,g30_secondary_shojo_050.png,Soren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,vampire,g30_secondary_shojo_050.webp
246,B03,S25,R2C1,g30_secondary_shojo_051,g30_secondary_shojo_051.png,Riven Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,grimdark,g30_secondary_shojo_051.webp
247,B03,S25,R2C2,g30_secondary_shojo_052,g30_secondary_shojo_052.png,Darian Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,grimdark,g30_secondary_shojo_052.webp
248,B03,S25,R2C3,g30_secondary_shojo_053,g30_secondary_shojo_053.png,Yara Locke,The Glass Duelist,secondary,shojo,mecha,isekai,monster_taming,g30_secondary_shojo_053.webp
249,B03,S25,R2C4,g30_secondary_shojo_054,g30_secondary_shojo_054.png,Selene Mirren,The Dune Hunter,secondary,shojo,slice,horror,arabia,g30_secondary_shojo_054.webp
250,B03,S25,R2C5,g30_secondary_shojo_055,g30_secondary_shojo_055.png,Kestrel Crowe,The Glass Duelist,secondary,shojo,romance,sports,arabia,g30_secondary_shojo_055.webp
251,B03,S26,R1C1,g30_secondary_shojo_056,g30_secondary_shojo_056.png,Jin Locke,The Dune Hunter,secondary,shojo,cyber,fantasy,arabia,g30_secondary_shojo_056.webp
252,B03,S26,R1C2,g30_secondary_shojo_057,g30_secondary_shojo_057.png,Aziel Mirren,The Glass Duelist,secondary,shojo,idol,mystery,arabia,g30_secondary_shojo_057.webp
253,B03,S26,R1C3,g30_secondary_shojo_058,g30_secondary_shojo_058.png,Cassian Crowe,The Dune Hunter,secondary,shojo,comedy,cooking,arabia,g30_secondary_shojo_058.webp
254,B03,S26,R1C4,g30_secondary_shojo_059,g30_secondary_shojo_059.png,Ren Locke,The Glass Duelist,secondary,shojo,military,supernatural,arabia,g30_secondary_shojo_059.webp
255,B03,S26,R1C5,g30_secondary_shojo_060,g30_secondary_shojo_060.png,Soraya Mirren,The Dune Hunter,secondary,shojo,space,magical,arabia,g30_secondary_shojo_060.webp
256,B03,S26,R2C1,g30_secondary_shojo_061,g30_secondary_shojo_061.png,Nadia Crowe,The Glass Duelist,secondary,shojo,survival,pirate,arabia,g30_secondary_shojo_061.webp
257,B03,S26,R2C2,g30_secondary_shojo_062,g30_secondary_shojo_062.png,Asha Locke,The Dune Hunter,secondary,shojo,martial,mythology,arabia,g30_secondary_shojo_062.webp
258,B03,S26,R2C3,g30_secondary_shojo_063,g30_secondary_shojo_063.png,Lio Mirren,The Glass Duelist,secondary,shojo,nordic,samurai,arabia,g30_secondary_shojo_063.webp
259,B03,S26,R2C4,g30_secondary_shojo_064,g30_secondary_shojo_064.png,Kael Crowe,The Dune Hunter,secondary,shojo,shinobi,vampire,arabia,g30_secondary_shojo_064.webp
260,B03,S26,R2C5,g30_secondary_shojo_065,g30_secondary_shojo_065.png,Soren Locke,The Glass Duelist,secondary,shojo,monster_taming,arabia,grimdark,g30_secondary_shojo_065.webp
261,B03,S27,R1C1,g30_pet_shonen_001,g30_pet_shonen_001.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,kaiju,g30_pet_shonen_001.webp
262,B03,S27,R1C2,g30_pet_shonen_002,g30_pet_shonen_002.png,Tikablink,The Ashen Viper,pet,shonen,monster_taming,cosmic_horror,arabia,g30_pet_shonen_002.webp
263,B03,S27,R1C3,g30_pet_shonen_003,g30_pet_shonen_003.png,Noritooth,The Cinder Corsair,pet,shonen,crime,cosmic_horror,mecha,g30_pet_shonen_003.webp
264,B03,S27,R1C4,g30_pet_shonen_004,g30_pet_shonen_004.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,arabia,mecha,g30_pet_shonen_004.webp
265,B03,S27,R1C5,g30_pet_shonen_005,g30_pet_shonen_005.png,Tofuwhirl,The Cinder Corsair,pet,shonen,crime,arabia,isekai,g30_pet_shonen_005.webp
266,B03,S27,R2C1,g30_pet_shonen_006,g30_pet_shonen_006.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,isekai,g30_pet_shonen_006.webp
267,B03,S27,R2C2,g30_pet_shonen_007,g30_pet_shonen_007.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,slice,g30_pet_shonen_007.webp
268,B03,S27,R2C3,g30_pet_shonen_008,g30_pet_shonen_008.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,slice,g30_pet_shonen_008.webp
269,B03,S27,R2C4,g30_pet_shonen_009,g30_pet_shonen_009.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,horror,g30_pet_shonen_009.webp
270,B03,S27,R2C5,g30_pet_shonen_010,g30_pet_shonen_010.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,horror,g30_pet_shonen_010.webp
271,B03,S28,R1C1,g30_pet_shonen_011,g30_pet_shonen_011.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,romance,g30_pet_shonen_011.webp
272,B03,S28,R1C2,g30_pet_shonen_012,g30_pet_shonen_012.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,romance,g30_pet_shonen_012.webp
273,B03,S28,R1C3,g30_pet_shonen_013,g30_pet_shonen_013.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,sports,g30_pet_shonen_013.webp
274,B03,S28,R1C4,g30_pet_shonen_014,g30_pet_shonen_014.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,sports,g30_pet_shonen_014.webp
275,B03,S28,R1C5,g30_pet_shonen_015,g30_pet_shonen_015.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,crime,cyber,g30_pet_shonen_015.webp
276,B03,S28,R2C1,g30_pet_shonen_016,g30_pet_shonen_016.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,cyber,g30_pet_shonen_016.webp
277,B03,S28,R2C2,g30_pet_shonen_017,g30_pet_shonen_017.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,fantasy,g30_pet_shonen_017.webp
278,B03,S28,R2C3,g30_pet_shonen_018,g30_pet_shonen_018.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,fantasy,g30_pet_shonen_018.webp
279,B03,S28,R2C4,g30_pet_shonen_019,g30_pet_shonen_019.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,idol,g30_pet_shonen_019.webp
280,B03,S28,R2C5,g30_pet_shonen_020,g30_pet_shonen_020.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,idol,g30_pet_shonen_020.webp
281,B03,S29,R1C1,g30_pet_shonen_021,g30_pet_shonen_021.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,mystery,g30_pet_shonen_021.webp
282,B03,S29,R1C2,g30_pet_shonen_022,g30_pet_shonen_022.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,mystery,g30_pet_shonen_022.webp
283,B03,S29,R1C3,g30_pet_shonen_023,g30_pet_shonen_023.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,comedy,g30_pet_shonen_023.webp
284,B03,S29,R1C4,g30_pet_shonen_024,g30_pet_shonen_024.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,comedy,g30_pet_shonen_024.webp
285,B03,S29,R1C5,g30_pet_shonen_025,g30_pet_shonen_025.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,crime,cooking,g30_pet_shonen_025.webp
286,B03,S29,R2C1,g30_pet_shonen_026,g30_pet_shonen_026.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,cooking,g30_pet_shonen_026.webp
287,B03,S29,R2C2,g30_pet_shonen_027,g30_pet_shonen_027.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,military,g30_pet_shonen_027.webp
288,B03,S29,R2C3,g30_pet_shonen_028,g30_pet_shonen_028.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,military,g30_pet_shonen_028.webp
289,B03,S29,R2C4,g30_pet_shonen_029,g30_pet_shonen_029.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,supernatural,g30_pet_shonen_029.webp
290,B03,S29,R2C5,g30_pet_shonen_030,g30_pet_shonen_030.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,supernatural,g30_pet_shonen_030.webp
291,B03,S30,R1C1,g30_pet_shonen_031,g30_pet_shonen_031.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,space,g30_pet_shonen_031.webp
292,B03,S30,R1C2,g30_pet_shonen_032,g30_pet_shonen_032.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,space,g30_pet_shonen_032.webp
293,B03,S30,R1C3,g30_pet_shonen_033,g30_pet_shonen_033.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,magical,g30_pet_shonen_033.webp
294,B03,S30,R1C4,g30_pet_shonen_034,g30_pet_shonen_034.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,magical,g30_pet_shonen_034.webp
