sequence,batch_code,sheet_code,sheet_position,character_id,filename_png,name,epithet,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre
177,B02,S18,R2C2,g30_secondary_shonen_047,g30_secondary_shonen_047.png,Riven Mirren,The Ashen Viper,secondary,shonen,monster_taming,crime,shinobi
178,B02,S18,R2C3,g30_secondary_shonen_048,g30_secondary_shonen_048.png,Darian Crowe,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,shinobi
179,B02,S18,R2C4,g30_secondary_shonen_049,g30_secondary_shonen_049.png,Yara Locke,The Ashen Viper,secondary,shonen,monster_taming,crime,vampire
180,B02,S18,R2C5,g30_secondary_shonen_050,g30_secondary_shonen_050.png,Selene Mirren,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,vampire
181,B02,S19,R1C1,g30_secondary_shonen_051,g30_secondary_shonen_051.png,Kestrel Crowe,The Ashen Viper,secondary,shonen,monster_taming,crime,grimdark
182,B02,S19,R1C2,g30_secondary_shonen_052,g30_secondary_shonen_052.png,Jin Locke,The Cinder Corsair,secondary,shonen,kaiju,cosmic_horror,grimdark
183,B02,S19,R1C3,g30_secondary_shonen_053,g30_secondary_shonen_053.png,Aziel Mirren,The Ashen Viper,secondary,shonen,mecha,isekai,monster_taming
184,B02,S19,R1C4,g30_secondary_shonen_054,g30_secondary_shonen_054.png,Cassian Crowe,The Cinder Corsair,secondary,shonen,slice,horror,arabia
185,B02,S19,R1C5,g30_secondary_shonen_055,g30_secondary_shonen_055.png,Ren Locke,The Ashen Viper,secondary,shonen,romance,sports,arabia
186,B02,S19,R2C1,g30_secondary_shonen_056,g30_secondary_shonen_056.png,Soraya Mirren,The Cinder Corsair,secondary,shonen,cyber,fantasy,arabia
187,B02,S19,R2C2,g30_secondary_shonen_057,g30_secondary_shonen_057.png,Nadia Crowe,The Ashen Viper,secondary,shonen,idol,mystery,arabia
188,B02,S19,R2C3,g30_secondary_shonen_058,g30_secondary_shonen_058.png,Asha Locke,The Cinder Corsair,secondary,shonen,comedy,cooking,arabia
189,B02,S19,R2C4,g30_secondary_shonen_059,g30_secondary_shonen_059.png,Lio Mirren,The Ashen Viper,secondary,shonen,military,supernatural,arabia
190,B02,S19,R2C5,g30_secondary_shonen_060,g30_secondary_shonen_060.png,Kael Crowe,The Cinder Corsair,secondary,shonen,space,magical,arabia
191,B02,S20,R1C1,g30_secondary_shonen_061,g30_secondary_shonen_061.png,Soren Locke,The Ashen Viper,secondary,shonen,survival,pirate,arabia
192,B02,S20,R1C2,g30_secondary_shonen_062,g30_secondary_shonen_062.png,Riven Mirren,The Cinder Corsair,secondary,shonen,martial,mythology,arabia
193,B02,S20,R1C3,g30_secondary_shonen_063,g30_secondary_shonen_063.png,Darian Crowe,The Ashen Viper,secondary,shonen,nordic,samurai,arabia
194,B02,S20,R1C4,g30_secondary_shonen_064,g30_secondary_shonen_064.png,Yara Locke,The Cinder Corsair,secondary,shonen,shinobi,vampire,arabia
195,B02,S20,R1C5,g30_secondary_shonen_065,g30_secondary_shonen_065.png,Selene Mirren,The Ashen Viper,secondary,shonen,monster_taming,arabia,grimdark
196,B02,S20,R2C1,g30_secondary_shojo_001,g30_secondary_shojo_001.png,Nadia Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,kaiju
197,B02,S20,R2C2,g30_secondary_shojo_002,g30_secondary_shojo_002.png,Asha Locke,The Dune Hunter,secondary,shojo,monster_taming,cosmic_horror,arabia
198,B02,S20,R2C3,g30_secondary_shojo_003,g30_secondary_shojo_003.png,Lio Mirren,The Glass Duelist,secondary,shojo,crime,cosmic_horror,mecha
199,B02,S20,R2C4,g30_secondary_shojo_004,g30_secondary_shojo_004.png,Kael Crowe,The Dune Hunter,secondary,shojo,kaiju,arabia,mecha
200,B02,S20,R2C5,g30_secondary_shojo_005,g30_secondary_shojo_005.png,Soren Locke,The Glass Duelist,secondary,shojo,crime,arabia,isekai
201,B03,S21,R1C1,g30_secondary_shojo_006,g30_secondary_shojo_006.png,Riven Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,isekai
202,B03,S21,R1C2,g30_secondary_shojo_007,g30_secondary_shojo_007.png,Darian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,slice
203,B03,S21,R1C3,g30_secondary_shojo_008,g30_secondary_shojo_008.png,Yara Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,slice
204,B03,S21,R1C4,g30_secondary_shojo_009,g30_secondary_shojo_009.png,Selene Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,horror
205,B03,S21,R1C5,g30_secondary_shojo_010,g30_secondary_shojo_010.png,Kestrel Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,horror
206,B03,S21,R2C1,g30_secondary_shojo_011,g30_secondary_shojo_011.png,Jin Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,romance
207,B03,S21,R2C2,g30_secondary_shojo_012,g30_secondary_shojo_012.png,Aziel Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,romance
208,B03,S21,R2C3,g30_secondary_shojo_013,g30_secondary_shojo_013.png,Cassian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,sports
209,B03,S21,R2C4,g30_secondary_shojo_014,g30_secondary_shojo_014.png,Ren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,sports
210,B03,S21,R2C5,g30_secondary_shojo_015,g30_secondary_shojo_015.png,Soraya Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,cyber
211,B03,S22,R1C1,g30_secondary_shojo_016,g30_secondary_shojo_016.png,Nadia Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,cyber
212,B03,S22,R1C2,g30_secondary_shojo_017,g30_secondary_shojo_017.png,Asha Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,fantasy
213,B03,S22,R1C3,g30_secondary_shojo_018,g30_secondary_shojo_018.png,Lio Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,fantasy
214,B03,S22,R1C4,g30_secondary_shojo_019,g30_secondary_shojo_019.png,Kael Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,idol
215,B03,S22,R1C5,g30_secondary_shojo_020,g30_secondary_shojo_020.png,Soren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,idol
216,B03,S22,R2C1,g30_secondary_shojo_021,g30_secondary_shojo_021.png,Riven Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,mystery
217,B03,S22,R2C2,g30_secondary_shojo_022,g30_secondary_shojo_022.png,Darian Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,mystery
218,B03,S22,R2C3,g30_secondary_shojo_023,g30_secondary_shojo_023.png,Yara Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,comedy
219,B03,S22,R2C4,g30_secondary_shojo_024,g30_secondary_shojo_024.png,Selene Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,comedy
220,B03,S22,R2C5,g30_secondary_shojo_025,g30_secondary_shojo_025.png,Kestrel Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,cooking
221,B03,S23,R1C1,g30_secondary_shojo_026,g30_secondary_shojo_026.png,Jin Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,cooking
222,B03,S23,R1C2,g30_secondary_shojo_027,g30_secondary_shojo_027.png,Aziel Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,military
223,B03,S23,R1C3,g30_secondary_shojo_028,g30_secondary_shojo_028.png,Cassian Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,military
224,B03,S23,R1C4,g30_secondary_shojo_029,g30_secondary_shojo_029.png,Ren Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,supernatural
225,B03,S23,R1C5,g30_secondary_shojo_030,g30_secondary_shojo_030.png,Soraya Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,supernatural
226,B03,S23,R2C1,g30_secondary_shojo_031,g30_secondary_shojo_031.png,Nadia Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,space
227,B03,S23,R2C2,g30_secondary_shojo_032,g30_secondary_shojo_032.png,Asha Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,space
228,B03,S23,R2C3,g30_secondary_shojo_033,g30_secondary_shojo_033.png,Lio Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,magical
229,B03,S23,R2C4,g30_secondary_shojo_034,g30_secondary_shojo_034.png,Kael Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,magical
230,B03,S23,R2C5,g30_secondary_shojo_035,g30_secondary_shojo_035.png,Soren Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,survival
231,B03,S24,R1C1,g30_secondary_shojo_036,g30_secondary_shojo_036.png,Riven Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,survival
232,B03,S24,R1C2,g30_secondary_shojo_037,g30_secondary_shojo_037.png,Darian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,pirate
233,B03,S24,R1C3,g30_secondary_shojo_038,g30_secondary_shojo_038.png,Yara Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,pirate
234,B03,S24,R1C4,g30_secondary_shojo_039,g30_secondary_shojo_039.png,Selene Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,martial
235,B03,S24,R1C5,g30_secondary_shojo_040,g30_secondary_shojo_040.png,Kestrel Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,martial
236,B03,S24,R2C1,g30_secondary_shojo_041,g30_secondary_shojo_041.png,Jin Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,mythology
237,B03,S24,R2C2,g30_secondary_shojo_042,g30_secondary_shojo_042.png,Aziel Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,mythology
238,B03,S24,R2C3,g30_secondary_shojo_043,g30_secondary_shojo_043.png,Cassian Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,nordic
239,B03,S24,R2C4,g30_secondary_shojo_044,g30_secondary_shojo_044.png,Ren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,nordic
240,B03,S24,R2C5,g30_secondary_shojo_045,g30_secondary_shojo_045.png,Soraya Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,samurai
241,B03,S25,R1C1,g30_secondary_shojo_046,g30_secondary_shojo_046.png,Nadia Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,samurai
242,B03,S25,R1C2,g30_secondary_shojo_047,g30_secondary_shojo_047.png,Asha Locke,The Glass Duelist,secondary,shojo,monster_taming,crime,shinobi
243,B03,S25,R1C3,g30_secondary_shojo_048,g30_secondary_shojo_048.png,Lio Mirren,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,shinobi
244,B03,S25,R1C4,g30_secondary_shojo_049,g30_secondary_shojo_049.png,Kael Crowe,The Glass Duelist,secondary,shojo,monster_taming,crime,vampire
245,B03,S25,R1C5,g30_secondary_shojo_050,g30_secondary_shojo_050.png,Soren Locke,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,vampire
246,B03,S25,R2C1,g30_secondary_shojo_051,g30_secondary_shojo_051.png,Riven Mirren,The Glass Duelist,secondary,shojo,monster_taming,crime,grimdark
247,B03,S25,R2C2,g30_secondary_shojo_052,g30_secondary_shojo_052.png,Darian Crowe,The Dune Hunter,secondary,shojo,kaiju,cosmic_horror,grimdark
248,B03,S25,R2C3,g30_secondary_shojo_053,g30_secondary_shojo_053.png,Yara Locke,The Glass Duelist,secondary,shojo,mecha,isekai,monster_taming
249,B03,S25,R2C4,g30_secondary_shojo_054,g30_secondary_shojo_054.png,Selene Mirren,The Dune Hunter,secondary,shojo,slice,horror,arabia
250,B03,S25,R2C5,g30_secondary_shojo_055,g30_secondary_shojo_055.png,Kestrel Crowe,The Glass Duelist,secondary,shojo,romance,sports,arabia
251,B03,S26,R1C1,g30_secondary_shojo_056,g30_secondary_shojo_056.png,Jin Locke,The Dune Hunter,secondary,shojo,cyber,fantasy,arabia
252,B03,S26,R1C2,g30_secondary_shojo_057,g30_secondary_shojo_057.png,Aziel Mirren,The Glass Duelist,secondary,shojo,idol,mystery,arabia
253,B03,S26,R1C3,g30_secondary_shojo_058,g30_secondary_shojo_058.png,Cassian Crowe,The Dune Hunter,secondary,shojo,comedy,cooking,arabia
254,B03,S26,R1C4,g30_secondary_shojo_059,g30_secondary_shojo_059.png,Ren Locke,The Glass Duelist,secondary,shojo,military,supernatural,arabia
255,B03,S26,R1C5,g30_secondary_shojo_060,g30_secondary_shojo_060.png,Soraya Mirren,The Dune Hunter,secondary,shojo,space,magical,arabia
256,B03,S26,R2C1,g30_secondary_shojo_061,g30_secondary_shojo_061.png,Nadia Crowe,The Glass Duelist,secondary,shojo,survival,pirate,arabia
257,B03,S26,R2C2,g30_secondary_shojo_062,g30_secondary_shojo_062.png,Asha Locke,The Dune Hunter,secondary,shojo,martial,mythology,arabia
258,B03,S26,R2C3,g30_secondary_shojo_063,g30_secondary_shojo_063.png,Lio Mirren,The Glass Duelist,secondary,shojo,nordic,samurai,arabia
259,B03,S26,R2C4,g30_secondary_shojo_064,g30_secondary_shojo_064.png,Kael Crowe,The Dune Hunter,secondary,shojo,shinobi,vampire,arabia
260,B03,S26,R2C5,g30_secondary_shojo_065,g30_secondary_shojo_065.png,Soren Locke,The Glass Duelist,secondary,shojo,monster_taming,arabia,grimdark
261,B03,S27,R1C1,g30_pet_shonen_001,g30_pet_shonen_001.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,kaiju
262,B03,S27,R1C2,g30_pet_shonen_002,g30_pet_shonen_002.png,Tikablink,The Ashen Viper,pet,shonen,monster_taming,cosmic_horror,arabia
263,B03,S27,R1C3,g30_pet_shonen_003,g30_pet_shonen_003.png,Noritooth,The Cinder Corsair,pet,shonen,crime,cosmic_horror,mecha
264,B03,S27,R1C4,g30_pet_shonen_004,g30_pet_shonen_004.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,arabia,mecha
265,B03,S27,R1C5,g30_pet_shonen_005,g30_pet_shonen_005.png,Tofuwhirl,The Cinder Corsair,pet,shonen,crime,arabia,isekai
266,B03,S27,R2C1,g30_pet_shonen_006,g30_pet_shonen_006.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,isekai
267,B03,S27,R2C2,g30_pet_shonen_007,g30_pet_shonen_007.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,slice
268,B03,S27,R2C3,g30_pet_shonen_008,g30_pet_shonen_008.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,slice
269,B03,S27,R2C4,g30_pet_shonen_009,g30_pet_shonen_009.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,horror
270,B03,S27,R2C5,g30_pet_shonen_010,g30_pet_shonen_010.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,horror
271,B03,S28,R1C1,g30_pet_shonen_011,g30_pet_shonen_011.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,romance
272,B03,S28,R1C2,g30_pet_shonen_012,g30_pet_shonen_012.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,romance
273,B03,S28,R1C3,g30_pet_shonen_013,g30_pet_shonen_013.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,sports
274,B03,S28,R1C4,g30_pet_shonen_014,g30_pet_shonen_014.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,sports
275,B03,S28,R1C5,g30_pet_shonen_015,g30_pet_shonen_015.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,crime,cyber
276,B03,S28,R2C1,g30_pet_shonen_016,g30_pet_shonen_016.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,cyber
277,B03,S28,R2C2,g30_pet_shonen_017,g30_pet_shonen_017.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,fantasy
278,B03,S28,R2C3,g30_pet_shonen_018,g30_pet_shonen_018.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,fantasy
279,B03,S28,R2C4,g30_pet_shonen_019,g30_pet_shonen_019.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,idol
280,B03,S28,R2C5,g30_pet_shonen_020,g30_pet_shonen_020.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,idol
281,B03,S29,R1C1,g30_pet_shonen_021,g30_pet_shonen_021.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,mystery
282,B03,S29,R1C2,g30_pet_shonen_022,g30_pet_shonen_022.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,mystery
283,B03,S29,R1C3,g30_pet_shonen_023,g30_pet_shonen_023.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,comedy
284,B03,S29,R1C4,g30_pet_shonen_024,g30_pet_shonen_024.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,comedy
285,B03,S29,R1C5,g30_pet_shonen_025,g30_pet_shonen_025.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,crime,cooking
286,B03,S29,R2C1,g30_pet_shonen_026,g30_pet_shonen_026.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,cooking
287,B03,S29,R2C2,g30_pet_shonen_027,g30_pet_shonen_027.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,military
288,B03,S29,R2C3,g30_pet_shonen_028,g30_pet_shonen_028.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,military
289,B03,S29,R2C4,g30_pet_shonen_029,g30_pet_shonen_029.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,supernatural
290,B03,S29,R2C5,g30_pet_shonen_030,g30_pet_shonen_030.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,supernatural
291,B03,S30,R1C1,g30_pet_shonen_031,g30_pet_shonen_031.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,space
292,B03,S30,R1C2,g30_pet_shonen_032,g30_pet_shonen_032.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,space
293,B03,S30,R1C3,g30_pet_shonen_033,g30_pet_shonen_033.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,magical
294,B03,S30,R1C4,g30_pet_shonen_034,g30_pet_shonen_034.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,magical
295,B03,S30,R1C5,g30_pet_shonen_035,g30_pet_shonen_035.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,crime,survival
296,B03,S30,R2C1,g30_pet_shonen_036,g30_pet_shonen_036.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,survival
297,B03,S30,R2C2,g30_pet_shonen_037,g30_pet_shonen_037.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,pirate
298,B03,S30,R2C3,g30_pet_shonen_038,g30_pet_shonen_038.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,pirate
299,B03,S30,R2C4,g30_pet_shonen_039,g30_pet_shonen_039.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,martial
300,B03,S30,R2C5,g30_pet_shonen_040,g30_pet_shonen_040.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,martial
301,B04,S31,R1C1,g30_pet_shonen_041,g30_pet_shonen_041.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,mythology
302,B04,S31,R1C2,g30_pet_shonen_042,g30_pet_shonen_042.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,mythology
303,B04,S31,R1C3,g30_pet_shonen_043,g30_pet_shonen_043.png,Noritooth,The Cinder Corsair,pet,shonen,monster_taming,crime,nordic
304,B04,S31,R1C4,g30_pet_shonen_044,g30_pet_shonen_044.png,Chaidrift,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,nordic
305,B04,S31,R1C5,g30_pet_shonen_045,g30_pet_shonen_045.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,crime,samurai
306,B04,S31,R2C1,g30_pet_shonen_046,g30_pet_shonen_046.png,Miriflare,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,samurai
307,B04,S31,R2C2,g30_pet_shonen_047,g30_pet_shonen_047.png,Kikisprite,The Cinder Corsair,pet,shonen,monster_taming,crime,shinobi
308,B04,S31,R2C3,g30_pet_shonen_048,g30_pet_shonen_048.png,Mokuwisp,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,shinobi
309,B04,S31,R2C4,g30_pet_shonen_049,g30_pet_shonen_049.png,Clinkcoil,The Cinder Corsair,pet,shonen,monster_taming,crime,vampire
310,B04,S31,R2C5,g30_pet_shonen_050,g30_pet_shonen_050.png,Skiffpuff,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,vampire
311,B04,S32,R1C1,g30_pet_shonen_051,g30_pet_shonen_051.png,Misotail,The Cinder Corsair,pet,shonen,monster_taming,crime,grimdark
312,B04,S32,R1C2,g30_pet_shonen_052,g30_pet_shonen_052.png,Tikablink,The Ashen Viper,pet,shonen,kaiju,cosmic_horror,grimdark
313,B04,S32,R1C3,g30_pet_shonen_053,g30_pet_shonen_053.png,Noritooth,The Cinder Corsair,pet,shonen,mecha,isekai,monster_taming
314,B04,S32,R1C4,g30_pet_shonen_054,g30_pet_shonen_054.png,Chaidrift,The Ashen Viper,pet,shonen,slice,horror,arabia
315,B04,S32,R1C5,g30_pet_shonen_055,g30_pet_shonen_055.png,Tofuwhirl,The Cinder Corsair,pet,shonen,romance,sports,arabia
316,B04,S32,R2C1,g30_pet_shonen_056,g30_pet_shonen_056.png,Miriflare,The Ashen Viper,pet,shonen,cyber,fantasy,arabia
317,B04,S32,R2C2,g30_pet_shonen_057,g30_pet_shonen_057.png,Kikisprite,The Cinder Corsair,pet,shonen,idol,mystery,arabia
318,B04,S32,R2C3,g30_pet_shonen_058,g30_pet_shonen_058.png,Mokuwisp,The Ashen Viper,pet,shonen,comedy,cooking,arabia
319,B04,S32,R2C4,g30_pet_shonen_059,g30_pet_shonen_059.png,Clinkcoil,The Cinder Corsair,pet,shonen,military,supernatural,arabia
320,B04,S32,R2C5,g30_pet_shonen_060,g30_pet_shonen_060.png,Skiffpuff,The Ashen Viper,pet,shonen,space,magical,arabia
321,B04,S33,R1C1,g30_pet_shonen_061,g30_pet_shonen_061.png,Misotail,The Cinder Corsair,pet,shonen,survival,pirate,arabia
322,B04,S33,R1C2,g30_pet_shonen_062,g30_pet_shonen_062.png,Tikablink,The Ashen Viper,pet,shonen,martial,mythology,arabia
323,B04,S33,R1C3,g30_pet_shonen_063,g30_pet_shonen_063.png,Noritooth,The Cinder Corsair,pet,shonen,nordic,samurai,arabia
324,B04,S33,R1C4,g30_pet_shonen_064,g30_pet_shonen_064.png,Chaidrift,The Ashen Viper,pet,shonen,shinobi,vampire,arabia
325,B04,S33,R1C5,g30_pet_shonen_065,g30_pet_shonen_065.png,Tofuwhirl,The Cinder Corsair,pet,shonen,monster_taming,arabia,grimdark
326,B04,S33,R2C1,g30_pet_shojo_001,g30_pet_shojo_001.png,Tikablink,The Dune Hunter,pet,shojo,monster_taming,crime,kaiju
327,B04,S33,R2C2,g30_pet_shojo_002,g30_pet_shojo_002.png,Noritooth,The Glass Duelist,pet,shojo,monster_taming,cosmic_horror,arabia
328,B04,S33,R2C3,g30_pet_shojo_003,g30_pet_shojo_003.png,Chaidrift,The Dune Hunter,pet,shojo,crime,cosmic_horror,mecha
329,B04,S33,R2C4,g30_pet_shojo_004,g30_pet_shojo_004.png,Tofuwhirl,The Glass Duelist,pet,shojo,kaiju,arabia,mecha
330,B04,S33,R2C5,g30_pet_shojo_005,g30_pet_shojo_005.png,Miriflare,The Dune Hunter,pet,shojo,crime,arabia,isekai
331,B04,S34,R1C1,g30_pet_shojo_006,g30_pet_shojo_006.png,Kikisprite,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,isekai
332,B04,S34,R1C2,g30_pet_shojo_007,g30_pet_shojo_007.png,Mokuwisp,The Dune Hunter,pet,shojo,monster_taming,crime,slice
333,B04,S34,R1C3,g30_pet_shojo_008,g30_pet_shojo_008.png,Clinkcoil,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,slice
334,B04,S34,R1C4,g30_pet_shojo_009,g30_pet_shojo_009.png,Skiffpuff,The Dune Hunter,pet,shojo,monster_taming,crime,horror
335,B04,S34,R1C5,g30_pet_shojo_010,g30_pet_shojo_010.png,Misotail,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,horror
336,B04,S34,R2C1,g30_pet_shojo_011,g30_pet_shojo_011.png,Tikablink,The Dune Hunter,pet,shojo,monster_taming,crime,romance
337,B04,S34,R2C2,g30_pet_shojo_012,g30_pet_shojo_012.png,Noritooth,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,romance
338,B04,S34,R2C3,g30_pet_shojo_013,g30_pet_shojo_013.png,Chaidrift,The Dune Hunter,pet,shojo,monster_taming,crime,sports
339,B04,S34,R2C4,g30_pet_shojo_014,g30_pet_shojo_014.png,Tofuwhirl,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,sports
340,B04,S34,R2C5,g30_pet_shojo_015,g30_pet_shojo_015.png,Miriflare,The Dune Hunter,pet,shojo,monster_taming,crime,cyber
341,B04,S35,R1C1,g30_pet_shojo_016,g30_pet_shojo_016.png,Kikisprite,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,cyber
342,B04,S35,R1C2,g30_pet_shojo_017,g30_pet_shojo_017.png,Mokuwisp,The Dune Hunter,pet,shojo,monster_taming,crime,fantasy
343,B04,S35,R1C3,g30_pet_shojo_018,g30_pet_shojo_018.png,Clinkcoil,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,fantasy
344,B04,S35,R1C4,g30_pet_shojo_019,g30_pet_shojo_019.png,Skiffpuff,The Dune Hunter,pet,shojo,monster_taming,crime,idol
345,B04,S35,R1C5,g30_pet_shojo_020,g30_pet_shojo_020.png,Misotail,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,idol
346,B04,S35,R2C1,g30_pet_shojo_021,g30_pet_shojo_021.png,Tikablink,The Dune Hunter,pet,shojo,monster_taming,crime,mystery
347,B04,S35,R2C2,g30_pet_shojo_022,g30_pet_shojo_022.png,Noritooth,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,mystery
348,B04,S35,R2C3,g30_pet_shojo_023,g30_pet_shojo_023.png,Chaidrift,The Dune Hunter,pet,shojo,monster_taming,crime,comedy
349,B04,S35,R2C4,g30_pet_shojo_024,g30_pet_shojo_024.png,Tofuwhirl,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,comedy
350,B04,S35,R2C5,g30_pet_shojo_025,g30_pet_shojo_025.png,Miriflare,The Dune Hunter,pet,shojo,monster_taming,crime,cooking
351,B04,S36,R1C1,g30_pet_shojo_026,g30_pet_shojo_026.png,Kikisprite,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,cooking
352,B04,S36,R1C2,g30_pet_shojo_027,g30_pet_shojo_027.png,Mokuwisp,The Dune Hunter,pet,shojo,monster_taming,crime,military
353,B04,S36,R1C3,g30_pet_shojo_028,g30_pet_shojo_028.png,Clinkcoil,The Glass Duelist,pet,shojo,kaiju,cosmic_horror,military
354,B04,S36,R1C4,g30_pet_shojo_029,g30_pet_shojo_029.png,Skiffpuff,The Dune Hunter,pet,shojo,monster_taming,crime,supernatural
